threshold,summary_floor,chunk_n,merge_n,floor_applied_n,Chunk_num_mean,Text_len_mean,Text_len_std,Summary_len_mean,Summary_len_std,Red_mean,Red_std,FirmRed_mean,FirmRed_std,loss,chunk_n_diff
1500,90,8706,200,614,17.262577532736046,3880.5072363886975,345.77513984407284,134.5685733976568,31.85209133152841,30.17983173620068,6.707282257352,28.837613793918056,2.0988096267548224,0.0974696093344681,23
1900,90,8641,265,613,17.154843189445668,3909.697488716584,329.9156319683448,135.58060409674806,34.36318165398869,30.25501492469307,6.61121364264563,28.837658875260615,2.098832202297157,0.09755764378395886,-42
1800,90,8659,247,613,17.183854948608385,3901.570158216884,331.2823569327018,135.29876429148862,33.697073087593,30.235605943879495,6.6352416161634,28.837658875260615,2.098832202297157,0.09790484977029427,-24
1700,90,8679,227,613,17.220532319391634,3892.579329415831,335.40357529928326,134.98698006682798,32.78478068785595,30.210826615431472,6.6666064762712915,28.837658875260615,2.098832202297157,0.09791546878289277,-4
800,60,8801,105,84,17.421997500284057,3838.6201568003635,425.0109804977481,132.02590614702873,30.12518972667241,30.73815884456504,8.769577492213884,29.078609149323935,2.255622972838801,0.0984470161236953,118
1400,90,8719,187,614,17.279160454180527,3874.721413006079,352.8900839761363,134.3679321023053,31.259512291771422,30.16133858936758,6.731070502606958,28.837613793918056,2.0988096267548224,0.10064436551366866,36
1100,80,8761,145,389,17.359091427919186,3856.1461020431457,384.96632435733795,133.14792831868508,30.309707075869245,30.408000799459842,7.495652343522996,28.96443109999179,2.173881796323216,0.10098682154205152,78
700,30,8817,89,0,17.44663717817852,3831.654304185097,442.7796854584837,131.73188159237836,29.896596917861732,30.782900003915074,9.143562828005651,29.089823721294763,2.265208557371326,0.10098770708360601,134
700,0,8817,89,0,17.44663717817852,3831.654304185097,442.7796854584837,131.73188159237836,29.896596917861732,30.782900003915074,9.143562828005651,29.089823721294763,2.265208557371326,0.10098770708360601,134
900,70,8790,116,205,17.397042093287826,3843.423890784983,413.06415699108265,132.3650739476678,30.02342446074736,30.59801824568634,8.20293883526754,29.040405431004125,2.224381841560819,0.10141364785857845,107
700,50,8817,89,12,17.44663717817852,3831.654304185097,442.7796854584837,131.73914029715323,29.875672548002857,30.768827814391745,9.054338727590892,29.088519803420137,2.264135526772826,0.10187566360076017,134
