sec_code,sec_name,year,raw_glm4_tokens,compact_glm4_tokens,norm_glm4_tokens,compact_chars
688697,纽威数控,2021,62717,51411,62717,86581
688739,成大生物,2021,65347,53429,65347,90706
688772,珠海冠宇,2021,69576,55855,69576,93219
688272,富吉瑞,2021,92901,77166,92901,130725
688722,同益中,2021,47890,38824,47890,66454
688285,高铁电气,2021,64735,53490,64735,90278
688255,凯尔达,2021,79197,64799,79197,111477
688553,汇宇制药,2021,77121,63898,77121,105253
688737,中自科技,2021,66075,52817,66075,89835
688211,中科微至,2021,46754,38312,46754,65393
688257,新锐股份,2021,64264,53011,64264,87540
688280,精进电动,2021,87355,68106,87355,115378
688162,巨一科技,2021,70302,57988,70302,103076
688105,诺唯赞,2021,76706,61514,76706,105358
688107,安路科技,2021,40475,33842,40475,61312
688212,澳华内镜,2021,69036,55694,69036,94375
688182,灿勤科技,2021,57425,47542,57425,78341
688075,安旭生物,2021,81931,65965,81931,113544
688082,盛美上海,2021,57976,48343,57976,81780
688232,新点软件,2021,87136,71175,87136,123091
688190,云路股份,2021,59768,49841,59768,82479
688049,炬芯科技,2021,41347,33221,41347,57677
688112,鼎阳科技,2021,75364,61509,75364,106213
688230,芯导科技,2021,47546,38786,47546,65844
688151,华强科技,2021,49853,40344,49853,67510
688110,东芯股份,2021,46292,37824,46292,67127
688192,迪哲医药,2021,74022,61004,74022,105738
688235,百济神州,2021,134619,106468,126242,177344
688246,嘉和美康,2021,84108,68395,84108,120414
688032,禾迈股份,2021,59583,48989,59583,85825
688248,南网科技,2021,84398,69270,84398,120842
688167,炬光科技,2021,58955,49022,58955,83515
688206,概伦电子,2021,37824,31764,37824,58060
688210,统联精密,2021,53501,43983,53501,75291
688265,南模生物,2021,52940,44098,52940,76938
688227,品高股份,2021,68167,55870,68167,99523
688236,春立医疗,2021,103351,85579,103351,143073
688262,国芯科技,2021,87093,70128,87093,123758
688176,亚虹医药,2021,81553,67772,81553,116740
688048,长光华芯,2022,69803,55883,69803,94909
688295,中复神鹰,2022,60595,48168,60595,77517
688337,普源精电,2022,62802,52281,62802,89671
688153,唯捷创芯,2022,32718,26984,32718,46605
688302,海创药业,2022,81170,67679,81170,116220
688125,安达智能,2022,56614,47526,56614,82219
688326,经纬恒润,2022,55415,45929,55415,80694
688072,拓荆科技,2022,32685,27086,32685,48047
688209,英集芯,2022,57372,44948,57372,75912
688279,峰岹科技,2022,38872,32172,38872,55435
688046,药康生物,2022,59111,48435,59111,83348
688052,纳芯微,2022,57387,46548,57387,79619
688325,赛微微电,2022,34802,28427,34802,49682
688290,景业智能,2022,58079,46637,58079,80446
688320,禾川科技,2022,58237,48749,58237,83921
688170,德龙激光,2022,66277,53827,66277,91270
688213,思特威,2022,45929,38991,45929,68537
688045,必易微,2022,44884,36892,44884,63110
688327,云从科技,2022,79937,66362,79937,116692
688119,中钢洛耐,2022,72202,58989,72202,96847
688251,井松智能,2022,44741,36888,44741,62928
688120,华海清科,2022,53236,43140,53236,74805
688348,昱能科技,2022,51055,41796,51055,74079
688349,三一重能,2022,146668,115161,146668,187091
688047,龙芯中科,2022,35381,29132,35381,49880
688297,中无人机,2022,52564,44194,52564,77294
688237,超卓航科,2022,43434,36959,43434,62583
688400,凌云光,2022,70918,58309,70918,100257
688322,奥比中光,2022,14100,11528,14100,19607
688053,思科瑞,2022,62758,51615,62758,89301
688353,华盛锂电,2022,49519,39960,49519,67896
688332,中科蓝讯,2022,51617,42137,51617,72908
688231,隆达股份,2022,70779,60050,70779,100627
688375,国博电子,2022,53327,43597,53327,74765
688382,益方生物,2022,94540,79001,94540,133573
688253,英诺特,2022,66725,53892,66725,91740
688130,晶华微,2022,41404,33131,41404,57297
688371,菲沃泰,2022,59648,47786,59648,81283
688373,盟科药业,2022,70887,59889,70887,102521
688380,中微半导,2022,40213,32862,40213,57251
688205,德科立,2022,52660,42165,52660,70401
688273,麦澜德,2022,37899,30548,37899,54118
688041,海光信息,2022,38905,32547,38905,59214
688203,海正生材,2022,88078,73235,88078,125126
688292,浩瀚深度,2022,60972,50807,60972,90032
688401,路维光电,2022,51898,43759,51898,72608
688403,汇成股份,2022,43828,37282,43828,62531
688271,联影医疗,2022,94284,73522,94284,129958
688381,帝奥微,2022,54268,44073,54268,75507
688370,丛麟科技,2022,75224,61783,75224,103999
688247,宣泰医药,2022,80497,66948,80497,110853
688439,振华风光,2022,36462,29907,36462,52340
688416,恒烁股份,2022,60980,50033,60980,87155
688351,微电生理,2022,56768,46877,56768,80544
688293,奥浦迈,2022,49447,39311,49447,68673
688114,华大智造,2022,41899,34752,41899,63444
688391,钜泉科技,2022,71322,59236,71322,101135
688455,科捷智能,2022,77453,61298,77453,103527
688035,德邦科技,2022,52674,42926,52674,71883
688184,帕瓦股份,2022,35396,29060,35396,48641
688448,磁谷科技,2022,46616,37795,46616,63603
688428,诺诚健华,2022,86411,72265,86411,124304
688132,邦彦技术,2022,61806,50711,61806,87755
688387,信科移动,2022,93536,74043,93536,128327
688392,骄成超声,2022,64386,54722,64386,95162
688252,天德钰,2022,44560,35984,44560,62759
688275,万润新能,2022,73791,59355,73791,98488
688137,近岸蛋白,2022,72269,60453,72269,105848
688409,富创精密,2022,33865,27543,33865,46305
688073,毕得医药,2022,77024,66557,77024,112343
688459,哈铁科技,2022,76649,62113,76649,107495
688031,星环科技,2022,81322,69058,81322,126740
688061,灿瑞科技,2022,50840,40768,50840,70264
688244,永信至诚,2022,77693,62819,77693,109875
688291,金橙子,2022,52500,42823,52500,74616
688152,麒麟信安,2022,60978,49954,60978,90161
688426,康为世纪,2022,66974,54554,66974,95365
688372,伟测科技,2022,46590,37875,46590,66114
688419,耐科装备,2022,65094,53190,65094,91299
688432,有研硅,2022,49656,39999,49656,65686
688362,甬矽电子,2022,51491,42455,51491,70132
688376,美埃科技,2022,7913,6484,7913,11591
688480,赛恩斯,2022,74303,60663,74303,103984
688489,三未信安,2022,50608,41245,50608,72035
688084,晶品特装,2022,67357,54084,67357,91776
688143,长盈通,2022,75052,63325,75052,108908
688420,美腾科技,2022,64776,53444,64776,89397
688503,聚和材料,2022,37645,31408,37645,52798
688172,燕东微,2022,56829,46005,56829,78214
688498,源杰科技,2022,48180,39312,48180,65807
688141,杰华特,2022,44280,36442,44280,64096
688147,微导纳米,2022,44915,36818,44915,63222
688410,山外山,2022,54703,46552,54703,80104
688475,萤石网络,2022,66807,55986,66807,98055
688496,清越科技,2022,48392,40313,48392,69333
688525,佰维存储,2022,64110,51471,64110,89852
688506,百利天恒,2022,129054,105506,129054,175796
688562,航天软件,2023,60218,48415,60218,86997
688593,新相微,2023,38574,32540,38574,57560
688523,航天环宇,2023,58895,48478,58895,82485
688570,天玛智控,2023,97435,81092,97435,138118
688576,西山科技,2023,89052,71725,89052,121070
688623,双元科技,2023,71593,58317,71593,98705
688472,阿特斯,2023,60866,49321,60866,86218
688334,西高院,2023,92744,77395,92744,136244
688443,智翔金泰,2023,70256,58523,70256,97417
688543,国科军工,2023,39974,33305,39974,55960
688620,安凯微,2023,36682,30290,36682,53632
688629,华丰科技,2023,61385,50787,61385,85737
688631,莱斯信息,2023,85022,68103,85022,122635
688429,时创能源,2023,38519,31426,38519,52922
688582,芯动联科,2023,48485,39404,48485,69526
688603,天承科技,2023,60149,50405,60149,82864
688638,誉辰智能,2023,54636,45369,54636,76085
688610,埃科光电,2023,64332,52886,64332,92901
688627,精智达,2023,41239,33463,41239,58547
688563,航材股份,2023,54610,43125,54610,71776
688602,康鹏科技,2023,71273,58595,71273,98748
688450,光格科技,2023,10123,9040,10123,15773
688612,威迈斯,2023,104991,79631,104991,136318
688651,盛邦安全,2023,46336,37725,46336,69095
688646,逸飞激光,2023,49544,41112,49544,68995
688347,华虹公司,2023,24967,21107,24967,36731
688671,碧兴物联,2023,59703,48995,59703,83892
688592,司南导航,2023,54527,45758,54527,79430
688548,广钢气体,2023,39024,32715,39024,55204
688573,信宇人,2023,51751,41910,51751,69988
688693,锴威特,2023,56510,46920,56510,78087
688591,泰凌微,2023,54045,45415,54045,80381
688549,中巨芯,2023,57729,47976,57729,79306
688702,盛科通信,2023,51485,43666,51485,77557
688716,中研股份,2023,79754,64785,79754,110275
688719,爱科赛博,2023,69898,58063,69898,101139
688657,浩辰软件,2023,61606,50036,61606,89161
688648,中邮科技,2023,48039,41175,48039,71579
688653,康希通信,2023,40543,33279,40543,58056
688652,京仪装备,2023,45363,37543,45363,65212
688720,艾森股份,2023,57188,47076,57188,76977
688717,艾罗能源,2023,73639,59626,73639,103473
