custom_id,sec_code,chunk_index,chunk_count,chunk_token_proxy,glm4_tokens,compact_chars
688037_1207150125_tok_chunk_0010,688037,10,10,1664.0,2371,3328
688038_1210429108_tok_chunk_0001,688038,1,13,3987.0,5109,7973
688038_1210429108_tok_chunk_0002,688038,2,13,3961.0,5190,7922
688038_1210429108_tok_chunk_0003,688038,3,13,3983.0,5324,7965
688038_1210429108_tok_chunk_0004,688038,4,13,3999.0,4753,7997
688038_1210429108_tok_chunk_0005,688038,5,13,3938.0,4584,7875
688038_1210429108_tok_chunk_0006,688038,6,13,3922.0,5513,7843
688038_1210429108_tok_chunk_0007,688038,7,13,3966.0,6198,7932
688038_1210429108_tok_chunk_0008,688038,8,13,3746.0,5707,7492
688038_1210429108_tok_chunk_0009,688038,9,13,3833.0,5932,7665
688038_1210429108_tok_chunk_0010,688038,10,13,3972.0,5352,7944
688038_1210429108_tok_chunk_0011,688038,11,13,3861.0,5121,7722
688038_1210429108_tok_chunk_0012,688038,12,13,3977.0,5301,7953
688038_1210429108_tok_chunk_0013,688038,13,13,3188.0,4597,6375
688039_1207141672_tok_chunk_0001,688039,1,12,3994.0,5281,7987
688039_1207141672_tok_chunk_0002,688039,2,12,3980.0,5143,7959
688039_1207141672_tok_chunk_0003,688039,3,12,3851.0,5126,7701
688039_1207141672_tok_chunk_0004,688039,4,12,3950.0,5021,7900
688039_1207141672_tok_chunk_0005,688039,5,12,3978.0,4800,7955
688039_1207141672_tok_chunk_0006,688039,6,12,3988.0,4885,7975
688039_1207141672_tok_chunk_0007,688039,7,12,3990.0,5434,7980
688039_1207141672_tok_chunk_0008,688039,8,12,3778.0,5997,7556
688039_1207141672_tok_chunk_0009,688039,9,12,3897.0,5893,7793
688039_1207141672_tok_chunk_0010,688039,10,12,3887.0,5194,7774
688039_1207141672_tok_chunk_0011,688039,11,12,3991.0,5803,7982
688039_1207141672_tok_chunk_0012,688039,12,12,3077.0,4095,6153
688041_1214251824_tok_chunk_0001,688041,1,8,3866.0,5028,7732
688041_1214251824_tok_chunk_0002,688041,2,8,3976.0,5230,7952
688041_1214251824_tok_chunk_0003,688041,3,8,3937.0,4716,7874
688041_1214251824_tok_chunk_0004,688041,4,8,3985.0,4964,7970
688041_1214251824_tok_chunk_0005,688041,5,8,3981.0,5201,7961
688041_1214251824_tok_chunk_0006,688041,6,8,3846.0,5509,7691
688041_1214251824_tok_chunk_0007,688041,7,8,3931.0,5243,7862
688041_1214251824_tok_chunk_0008,688041,8,8,2086.0,2627,4172
688045_1213447130_tok_chunk_0001,688045,1,9,3995.0,5534,7990
688045_1213447130_tok_chunk_0002,688045,2,9,3970.0,5596,7939
688045_1213447130_tok_chunk_0003,688045,3,9,3949.0,5181,7897
688045_1213447130_tok_chunk_0004,688045,4,9,3924.0,5467,7847
688045_1213447130_tok_chunk_0005,688045,5,9,3827.0,4716,7654
688045_1213447130_tok_chunk_0006,688045,6,9,3979.0,6137,7957
688045_1213447130_tok_chunk_0007,688045,7,9,3833.0,5792,7666
688045_1213447130_tok_chunk_0008,688045,8,9,3816.0,5700,7631
688045_1213447130_tok_chunk_0009,688045,9,9,265.0,382,529
688046_1212951583_tok_chunk_0001,688046,1,11,3942.0,5128,7883
688046_1212951583_tok_chunk_0002,688046,2,11,3924.0,5063,7847
688046_1212951583_tok_chunk_0003,688046,3,11,3969.0,4897,7937
688046_1212951583_tok_chunk_0004,688046,4,11,3920.0,4975,7840
688046_1212951583_tok_chunk_0005,688046,5,11,3994.0,5038,7988
688046_1212951583_tok_chunk_0006,688046,6,11,3920.0,5668,7839
688046_1212951583_tok_chunk_0007,688046,7,11,3882.0,6043,7763
688046_1212951583_tok_chunk_0008,688046,8,11,3663.0,6321,7326
688046_1212951583_tok_chunk_0009,688046,9,11,3963.0,6488,7926
688046_1212951583_tok_chunk_0010,688046,10,11,3977.0,5512,7954
688046_1212951583_tok_chunk_0011,688046,11,11,2523.0,3477,5045
688047_1213762762_tok_chunk_0001,688047,1,7,3892.0,5201,7784
688047_1213762762_tok_chunk_0002,688047,2,7,3997.0,5184,7994
688047_1213762762_tok_chunk_0003,688047,3,7,3929.0,4905,7857
688047_1213762762_tok_chunk_0004,688047,4,7,3872.0,5937,7744
688047_1213762762_tok_chunk_0005,688047,5,7,3825.0,6148,7649
688047_1213762762_tok_chunk_0006,688047,6,7,3737.0,5176,7474
688047_1213762762_tok_chunk_0007,688047,7,7,1689.0,2495,3378
688048_1212709018_tok_chunk_0001,688048,1,13,3960.0,5768,7919
688048_1212709018_tok_chunk_0002,688048,2,13,3932.0,5198,7864
688048_1212709018_tok_chunk_0003,688048,3,13,3894.0,5176,7787
688048_1212709018_tok_chunk_0004,688048,4,13,3997.0,5200,7993
688048_1212709018_tok_chunk_0005,688048,5,13,4000.0,5163,7999
688048_1212709018_tok_chunk_0006,688048,6,13,3990.0,5870,7979
688048_1212709018_tok_chunk_0007,688048,7,13,3899.0,5488,7798
688048_1212709018_tok_chunk_0008,688048,8,13,3997.0,6207,7993
688048_1212709018_tok_chunk_0009,688048,9,13,3928.0,7126,7855
688048_1212709018_tok_chunk_0010,688048,10,13,3400.0,5132,6799
688048_1212709018_tok_chunk_0011,688048,11,13,3949.0,6230,7897
688048_1212709018_tok_chunk_0012,688048,12,13,3984.0,5714,7968
688048_1212709018_tok_chunk_0013,688048,13,13,529.0,819,1058
688049_1211684965_tok_chunk_0001,688049,1,8,3957.0,5468,7914
688049_1211684965_tok_chunk_0002,688049,2,8,3951.0,4769,7901
688049_1211684965_tok_chunk_0003,688049,3,8,3991.0,5013,7981
688049_1211684965_tok_chunk_0004,688049,4,8,3965.0,6015,7930
688049_1211684965_tok_chunk_0005,688049,5,8,3902.0,6685,7804
688049_1211684965_tok_chunk_0006,688049,6,8,3977.0,6094,7954
688049_1211684965_tok_chunk_0007,688049,7,8,3998.0,5585,7995
688049_1211684965_tok_chunk_0008,688049,8,8,1099.0,1279,2198
688050_1208062349_tok_chunk_0001,688050,1,17,3950.0,5772,7900
688050_1208062349_tok_chunk_0002,688050,2,17,3678.0,4593,7355
688050_1208062349_tok_chunk_0003,688050,3,17,3961.0,5441,7922
688050_1208062349_tok_chunk_0004,688050,4,17,3995.0,5479,7989
688050_1208062349_tok_chunk_0005,688050,5,17,3954.0,5774,7908
688050_1208062349_tok_chunk_0006,688050,6,17,3990.0,6081,7979
688050_1208062349_tok_chunk_0007,688050,7,17,3730.0,6104,7459
688050_1208062349_tok_chunk_0008,688050,8,17,3946.0,5878,7892
688050_1208062349_tok_chunk_0009,688050,9,17,3912.0,5893,7824
688050_1208062349_tok_chunk_0010,688050,10,17,3862.0,5589,7723
688050_1208062349_tok_chunk_0011,688050,11,17,3767.0,6003,7533
688050_1208062349_tok_chunk_0012,688050,12,17,3625.0,5822,7250
688050_1208062349_tok_chunk_0013,688050,13,17,3943.0,6408,7886
688050_1208062349_tok_chunk_0014,688050,14,17,3842.0,6364,7684
688050_1208062349_tok_chunk_0015,688050,15,17,3993.0,5477,7985
688050_1208062349_tok_chunk_0016,688050,16,17,3992.0,6098,7983
688050_1208062349_tok_chunk_0017,688050,17,17,2632.0,3301,5263
688051_1207374313_tok_chunk_0001,688051,1,16,3473.0,4733,6945
688051_1207374313_tok_chunk_0002,688051,2,16,3876.0,5445,7751
688051_1207374313_tok_chunk_0003,688051,3,16,3994.0,5153,7987
688051_1207374313_tok_chunk_0004,688051,4,16,3971.0,4838,7942
688051_1207374313_tok_chunk_0005,688051,5,16,3982.0,4919,7964
688051_1207374313_tok_chunk_0006,688051,6,16,3928.0,4905,7856
688051_1207374313_tok_chunk_0007,688051,7,16,3909.0,4881,7817
688051_1207374313_tok_chunk_0008,688051,8,16,3913.0,5704,7826
688051_1207374313_tok_chunk_0009,688051,9,16,3998.0,6474,7996
688051_1207374313_tok_chunk_0010,688051,10,16,3979.0,5542,7958
688051_1207374313_tok_chunk_0011,688051,11,16,3816.0,6622,7632
688051_1207374313_tok_chunk_0012,688051,12,16,3975.0,5765,7949
688051_1207374313_tok_chunk_0013,688051,13,16,3996.0,5775,7991
688051_1207374313_tok_chunk_0014,688051,14,16,3821.0,5561,7642
688051_1207374313_tok_chunk_0015,688051,15,16,3944.0,5746,7887
688051_1207374313_tok_chunk_0016,688051,16,16,2792.0,3604,5584
688052_1212951585_tok_chunk_0001,688052,1,11,3959.0,5521,7918
688052_1212951585_tok_chunk_0002,688052,2,11,3997.0,5393,7994
688052_1212951585_tok_chunk_0003,688052,3,11,3870.0,4856,7739
688052_1212951585_tok_chunk_0004,688052,4,11,3967.0,4919,7934
688052_1212951585_tok_chunk_0005,688052,5,11,3807.0,5377,7613
688052_1212951585_tok_chunk_0006,688052,6,11,3989.0,5267,7978
688052_1212951585_tok_chunk_0007,688052,7,11,3972.0,6362,7943
688052_1212951585_tok_chunk_0008,688052,8,11,3641.0,6227,7282
688052_1212951585_tok_chunk_0009,688052,9,11,3990.0,5814,7979
688052_1212951585_tok_chunk_0010,688052,10,11,3973.0,6341,7946
688052_1212951585_tok_chunk_0011,688052,11,11,647.0,749,1293
688053_1213942187_tok_chunk_0001,688053,1,12,3940.0,5618,7879
688053_1213942187_tok_chunk_0002,688053,2,12,3999.0,5413,7998
688053_1213942187_tok_chunk_0003,688053,3,12,3998.0,5213,7995
688053_1213942187_tok_chunk_0004,688053,4,12,3804.0,4798,7607
688053_1213942187_tok_chunk_0005,688053,5,12,3932.0,4660,7863
688053_1213942187_tok_chunk_0006,688053,6,12,3848.0,5171,7696
688053_1213942187_tok_chunk_0007,688053,7,12,3750.0,5504,7500
688053_1213942187_tok_chunk_0008,688053,8,12,3421.0,5887,6841
688053_1213942187_tok_chunk_0009,688053,9,12,3554.0,5480,7108
688053_1213942187_tok_chunk_0010,688053,10,12,3827.0,5300,7654
688053_1213942187_tok_chunk_0011,688053,11,12,3382.0,5019,6764
688053_1213942187_tok_chunk_0012,688053,12,12,3198.0,4252,6396
688055_1208153501_tok_chunk_0001,688055,1,12,3814.0,5022,7628
688055_1208153501_tok_chunk_0002,688055,2,12,3999.0,5335,7998
688055_1208153501_tok_chunk_0003,688055,3,12,3980.0,5264,7960
688055_1208153501_tok_chunk_0004,688055,4,12,3618.0,5150,7235
688055_1208153501_tok_chunk_0005,688055,5,12,3912.0,5385,7824
688055_1208153501_tok_chunk_0006,688055,6,12,3999.0,5597,7998
688055_1208153501_tok_chunk_0007,688055,7,12,3987.0,5868,7973
688055_1208153501_tok_chunk_0008,688055,8,12,3973.0,5965,7945
688055_1208153501_tok_chunk_0009,688055,9,12,3850.0,5297,7700
688055_1208153501_tok_chunk_0010,688055,10,12,3973.0,6265,7946
688055_1208153501_tok_chunk_0011,688055,11,12,3993.0,5292,7986
688055_1208153501_tok_chunk_0012,688055,12,12,2230.0,2774,4459
688056_1208264418_tok_chunk_0001,688056,1,16,3856.0,5289,7711
688056_1208264418_tok_chunk_0002,688056,2,16,3997.0,5363,7994
688056_1208264418_tok_chunk_0003,688056,3,16,3945.0,4923,7890
688056_1208264418_tok_chunk_0004,688056,4,16,3916.0,5186,7831
688056_1208264418_tok_chunk_0005,688056,5,16,3990.0,4809,7980
688056_1208264418_tok_chunk_0006,688056,6,16,3991.0,4895,7981
688056_1208264418_tok_chunk_0007,688056,7,16,3984.0,4759,7967
688056_1208264418_tok_chunk_0008,688056,8,16,3863.0,4932,7726
688056_1208264418_tok_chunk_0009,688056,9,16,3801.0,4764,7601
688056_1208264418_tok_chunk_0010,688056,10,16,3831.0,6030,7662
688056_1208264418_tok_chunk_0011,688056,11,16,3744.0,6020,7487
688056_1208264418_tok_chunk_0012,688056,12,16,3751.0,5559,7501
688056_1208264418_tok_chunk_0013,688056,13,16,3481.0,4758,6962
688056_1208264418_tok_chunk_0014,688056,14,16,3636.0,5227,7272
688056_1208264418_tok_chunk_0015,688056,15,16,3986.0,5300,7971
688056_1208264418_tok_chunk_0016,688056,16,16,518.0,587,1035
688057_1208699128_tok_chunk_0001,688057,1,22,3984.0,5249,7968
688057_1208699128_tok_chunk_0002,688057,2,22,3946.0,5104,7891
688057_1208699128_tok_chunk_0003,688057,3,22,3962.0,5075,7924
688057_1208699128_tok_chunk_0004,688057,4,22,3970.0,5829,7940
688057_1208699128_tok_chunk_0005,688057,5,22,3980.0,5039,7959
688057_1208699128_tok_chunk_0006,688057,6,22,3935.0,4812,7869
688057_1208699128_tok_chunk_0007,688057,7,22,3996.0,5318,7991
688057_1208699128_tok_chunk_0008,688057,8,22,3956.0,5982,7912
688057_1208699128_tok_chunk_0009,688057,9,22,3937.0,6136,7873
688057_1208699128_tok_chunk_0010,688057,10,22,3761.0,5979,7522
688057_1208699128_tok_chunk_0011,688057,11,22,3999.0,5732,7998
