sec_code,sec_name,year,raw_glm4_tokens,dewrap_join_glm4_tokens,dewrap_space_glm4_tokens,dewrap_join_compact_chars
688552,航天南湖,2023,50664,44501,47571,69673
688361,中科飞测,2023,35171,31038,33021,50727
688581,安杰思,2023,75116,65216,69441,100691
688458,美芯晟,2023,57109,50033,53258,79948
688575,亚辉龙,2021,114233,97329,104759,150030
688314,康拓医疗,2021,51868,45005,48198,68637
688660,电气风电,2021,89975,80229,84945,120822
688076,诺泰生物,2021,115953,102806,108831,158881
688613,奥精医疗,2021,70083,61495,65354,95891
688359,三孚新科,2021,62781,55977,59123,82122
688538,和辉光电,2021,84673,74450,79119,119071
688117,圣诺生物,2021,85214,75924,80726,117381
688319,欧林生物,2021,86873,77031,81650,119249
688625,呈和科技,2021,55479,48959,51978,75595
688131,皓元医药,2021,110638,97041,103758,154923
688269,凯立新材,2021,78217,68525,72988,103253
688345,博力威,2021,72852,64877,68892,99678
688681,科汇股份,2021,60635,54980,57012,84312
688067,爱威科技,2021,74428,64104,69442,96674
688700,东威科技,2021,40880,36457,38603,55088
688597,煜邦电力,2021,84549,73308,78292,109672
688517,金冠电气,2021,72372,63438,67485,93410
688425,铁建重工,2021,112726,99621,105886,150028
688621,阳光诺和,2021,58645,51669,54979,83713
688216,气派科技,2021,82263,72681,77231,108284
688690,纳微科技,2021,47988,41702,44585,64487
688276,百克生物,2021,61841,52799,56587,80425
688601,力芯微,2021,39607,34917,36846,55753
688367,工大高科,2021,71019,60175,65146,91527
688161,威高骨科,2021,94631,81734,87795,119538
688499,利元亨,2021,57140,48966,52863,75615
688239,航宇科技,2021,84945,73304,78596,112625
688226,威腾电气,2021,99216,86592,92511,128608
688087,英科再生,2021,63022,54921,58051,84234
688789,宏华数科,2021,57021,49930,53304,76784
688305,科德数控,2021,87658,76473,81102,111675
688038,中科通达,2021,69290,61026,64955,98758
688799,华纳药厂,2021,135458,118421,126744,169731
688793,倍轻松,2021,80576,69831,76706,104778
688501,青达环保,2021,76613,66835,71660,99508
688800,瑞可达,2021,64252,56351,60284,86226
688303,大全能源,2021,65333,57760,61096,86540
688768,容知日新,2021,67921,58629,63155,93664
688296,和达科技,2021,69955,62818,65575,98279
688718,唯赛勃,2021,74271,65072,69510,99594
688071,华依科技,2021,76331,66712,71402,109136
688509,正元地信,2021,80390,70208,75157,115860
688511,天微电子,2021,70494,61607,66124,100342
688670,金迪克,2021,58773,51661,54862,78764
688385,复旦微电,2021,83264,74050,78630,120483
688778,厦钨新能,2021,68816,60073,64452,88882
688148,芳源股份,2021,55117,48443,51642,73061
688779,长远锂科,2021,72657,63451,67752,96047
688787,海天瑞声,2021,106754,93329,99481,149140
688798,艾为电子,2021,53573,45999,49151,72989
688733,壹石通,2021,58742,51944,55065,80435
688728,格科微,2021,67919,58926,62818,94320
688766,普冉股份,2021,63600,56406,58879,90994
688786,悦安新材,2021,64812,56799,60579,83723
688776,国光电气,2021,50334,43507,46337,65563
688711,宏微科技,2021,64528,56740,60271,85999
688121,卓然股份,2021,69856,61355,66209,90932
688187,时代电气,2021,79616,69872,74643,109098
688091,上海谊众,2021,46510,41180,43776,61759
688767,博拓生物,2021,85273,75850,79875,120326
688103,国力股份,2021,73265,64273,68648,99925
688622,禾信仪器,2021,80787,71008,76232,107345
688707,振华新材,2021,72424,64091,68183,97473
688701,卓锦股份,2021,80599,69481,74779,109565
688697,纽威数控,2021,62717,54318,58142,82380
688739,成大生物,2021,65347,57090,60955,87826
688772,珠海冠宇,2021,69576,60585,64660,90549
688272,富吉瑞,2021,92901,80815,86511,126111
688722,同益中,2021,47890,41565,44249,63540
688285,高铁电气,2021,64735,57208,60874,87427
688255,凯尔达,2021,79197,69233,72344,106382
688553,汇宇制药,2021,77121,68150,72508,102190
688737,中自科技,2021,66075,56949,60266,84598
688211,中科微至,2021,46754,40546,43363,63005
688257,新锐股份,2021,64264,56016,59593,83923
688280,精进电动,2021,87355,77988,83094,114289
688162,巨一科技,2021,70302,61527,66031,100086
688105,诺唯赞,2021,76706,66108,71029,101219
688107,安路科技,2021,40475,36456,38305,59361
688212,澳华内镜,2021,69036,60314,64139,91035
688182,灿勤科技,2021,57425,51846,54459,75949
688075,安旭生物,2021,81931,71796,76783,109772
688082,盛美上海,2021,57976,51045,54455,78937
688232,新点软件,2021,87136,76128,80811,118016
688190,云路股份,2021,59768,52928,56092,79504
688049,炬芯科技,2021,41347,36657,39000,56224
688112,鼎阳科技,2021,75364,66313,70550,103294
688230,芯导科技,2021,47546,41762,44515,63706
688151,华强科技,2021,49853,43211,46405,65281
688110,东芯股份,2021,46292,41185,43338,65178
688192,迪哲医药,2021,74022,67204,70933,104740
688235,百济神州,2021,134619,112981,118421,171282
688246,嘉和美康,2021,84108,72621,77910,116707
688032,禾迈股份,2021,59583,51656,55262,82801
688248,南网科技,2021,84398,73170,78758,115213
688167,炬光科技,2021,58955,52070,55223,80849
688206,概伦电子,2021,37824,33551,35562,56345
688210,统联精密,2021,53501,46752,49853,72415
688265,南模生物,2021,52940,46955,49723,74083
688227,品高股份,2021,68167,59852,63600,96651
688236,春立医疗,2021,103351,90986,96991,138059
688262,国芯科技,2021,87093,77914,82284,120655
688176,亚虹医药,2021,81553,72539,76777,112835
688048,长光华芯,2022,69803,60628,64618,91205
688295,中复神鹰,2022,60595,52757,56200,75135
688337,普源精电,2022,62802,55711,59051,87151
