code,sec_name_csmar,company_name_csmar,list_date_csmar,list_year_csmar,prospectus_publish_date_csmar,prospectus_sign_date_csmar,issue_price,gross_proceeds,issue_fee,sponsor,Listexg,Nindcd,Nindnme,IndustryCodeC,IndustryNameC,in_candidate_x,candidate_status
688085,三友医疗,上海三友医疗器械股份有限公司,2020-04-09,2020,2020-04-01,2020-04-01,20.96,107595.016,9789.28,东方花旗证券有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688096,京源环保,江苏京源环保股份有限公司,2020-04-09,2020,2020-04-02,2020-04-02,14.34,38474.22,4199.42,平安证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688222,成都先导,成都先导药物开发股份有限公司,2020-04-16,2020,2020-04-08,2020-04-08,20.52,83475.36,8874.24,中国国际金融股份有限公司,1,M73,研究和试验发展,,,True,in_candidate_x
688126,沪硅产业,上海硅产业集团股份有限公司,2020-04-20,2020,2020-04-15,2020-04-15,3.89,241206.53,12767.55,海通证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688318,财富趋势,深圳市财富趋势科技股份有限公司,2020-04-27,2020,2020-04-21,2020-04-21,107.41,179052.47,7659.84,中国银河证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688365,光云科技,杭州光云科技股份有限公司,2020-04-29,2020,2020-04-24,2020-04-24,10.8,43308.0,6353.17,中国国际金融股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688466,金科环境,金科环境股份有限公司,2020-05-08,2020,2020-04-29,2020-04-29,24.61,63223.09,6617.21,招商证券股份有限公司,1,N77,生态保护和环境治理业,,,True,in_candidate_x
688588,凌志软件,苏州工业园区凌志软件股份有限公司,2020-05-11,2020,2020-04-30,2020-04-30,11.49,45971.49,7466.92,天风证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688566,吉贝尔,江苏吉贝尔药业股份有限公司,2020-05-18,2020,2020-05-12,2020-05-12,23.69,110716.16,8627.32,国金证券股份有限公司,1,C27,医药制造业,,,True,in_candidate_x
688598,金博股份,湖南金博碳素股份有限公司,2020-05-18,2020,2020-05-12,2020-05-12,47.2,94400.0,7872.79,海通证券股份有限公司,1,C30,非金属矿物制品业,,,True,in_candidate_x
688516,奥特维,无锡奥特维科技股份有限公司,2020-05-21,2020,2020-05-18,2020-05-18,23.28,57431.76,6204.4354,信达证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688360,德马科技,浙江德马科技股份有限公司,2020-06-02,2020,2020-05-27,2020-05-27,25.12,53804.9,7711.28,光大证券股份有限公司,1,C34,通用设备制造业,,,True,in_candidate_x
688312,燕麦科技,深圳市燕麦科技股份有限公司,2020-06-08,2020,2020-06-02,2020-06-02,19.68,70592.16,7980.12,华泰联合证券有限责任公司,1,C35,专用设备制造业,,,True,in_candidate_x
688157,松井股份,湖南松井新材料股份有限公司,2020-06-09,2020,2020-06-02,2020-06-02,34.48,68615.2,6712.5685,德邦证券股份有限公司,1,C26,化学原料及化学制品制造业,,,True,in_candidate_x
688599,天合光能,天合光能股份有限公司,2020-06-10,2020,2020-06-04,2020-06-04,8.16,253123.2,22116.94,华泰联合证券有限责任公司,1,C38,电气机械及器材制造业,,,True,in_candidate_x
688004,博汇科技,北京市博汇科技股份有限公司,2020-06-12,2020,2020-06-09,2020-06-09,28.77,40853.4,5096.65,浙商证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688106,金宏气体,苏州金宏气体股份有限公司,2020-06-16,2020,2020-06-11,2020-06-11,15.48,187437.1,11486.04,招商证券股份有限公司,1,C26,化学原料及化学制品制造业,,,True,in_candidate_x
688505,复旦张江,上海复旦张江生物医药股份有限公司,2020-06-19,2020,2020-06-12,2020-06-12,8.95,107400.0,9967.61,海通证券股份有限公司,1,C27,医药制造业,,,True,in_candidate_x
688518,联赢激光,深圳市联赢激光股份有限公司,2020-06-22,2020,2020-06-16,2020-06-16,7.81,58418.8,8528.25,中山证券有限责任公司,1,C35,专用设备制造业,,,True,in_candidate_x
688520,神州细胞,北京神州细胞生物技术集团股份公司,2020-06-22,2020,2020-06-15,2020-06-15,25.64,128200.0,8082.68,中国国际金融股份有限公司,1,C27,医药制造业,,,True,in_candidate_x
688555,泽达易盛,泽达易盛(天津)科技股份有限公司,2020-06-23,2020,2020-06-16,2020-06-16,19.49,40500.22,6530.32,东兴证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688558,国盛智科,南通国盛智能科技集团股份有限公司,2020-06-30,2020,2020-06-23,2020-06-23,17.37,57321.0,5274.81,申港证券股份有限公司,1,C34,通用设备制造业,,,True,in_candidate_x
688528,秦川物联,成都秦川物联网科技股份有限公司,2020-07-01,2020,2020-06-23,2020-06-23,11.33,47586.0,5922.0601,华安证券股份有限公司,1,C40,仪器仪表制造业,,,True,in_candidate_x
688600,皖仪科技,安徽皖仪科技股份有限公司,2020-07-03,2020,2020-06-29,2020-06-29,15.5,51677.0,5846.76,光大证券股份有限公司,1,C40,仪器仪表制造业,,,True,in_candidate_x
688277,天智航,北京天智航医疗科技股份有限公司,2020-07-07,2020,2020-06-30,2020-06-30,12.04,50447.6,5617.5294,中信建投证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688377,迪威尔,南京迪威尔高端制造股份有限公司,2020-07-08,2020,2020-07-01,2020-07-01,16.42,79911.21,7523.58,华泰联合证券有限责任公司,1,C35,专用设备制造业,,,True,in_candidate_x
688568,中科星图,中科星图股份有限公司,2020-07-08,2020,2020-07-02,2020-07-02,16.21,89155.0,9086.6,中信建投证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688027,国盾量子,科大国盾量子技术股份有限公司,2020-07-09,2020,2020-07-02,2020-07-02,36.18,72360.0,6766.06,国元证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688060,云涌科技,江苏云涌电子科技股份有限公司,2020-07-10,2020,2020-07-07,2020-07-07,44.47,66705.0,6495.28,浙商证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688309,恒誉环保,济南恒誉环保科技股份有限公司,2020-07-14,2020,2020-07-09,2020-07-09,24.79,49586.69,6012.86,,1,C35,专用设备制造业,,,True,in_candidate_x
688165,埃夫特,埃夫特智能装备股份有限公司,2020-07-15,2020,2020-07-09,2020-07-09,6.35,82833.74,10244.25,国信证券股份有限公司,1,C34,通用设备制造业,,,True,in_candidate_x
688180,君实生物,上海君实生物医药科技股份有限公司,2020-07-15,2020,2020-07-08,2020-07-08,55.5,483571.5,33873.67,,1,C27,医药制造业,,,True,in_candidate_x
688500,慧辰资讯,北京慧辰资道资讯股份有限公司,2020-07-16,2020,2020-07-13,2020-07-13,34.21,63523.28,7483.0,中信证券股份有限公司,1,I64,互联网和相关服务,,,True,in_candidate_x
688981,中芯国际,中芯国际集成电路制造有限公司,2020-07-16,2020,2020-07-13,2020-07-13,27.46,4628712.52,62432.69,"海通证券股份有限公司,中国国际金融股份有限公司",1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688567,孚能科技,孚能科技(赣州)股份有限公司,2020-07-17,2020,2020-07-10,2020-07-10,15.9,340472.96,18022.23,,1,C38,电气机械及器材制造业,,,True,in_candidate_x
688579,山大地纬,山大地纬软件股份有限公司,2020-07-17,2020,2020-07-10,2020-07-10,8.12,32488.12,4486.674,民生证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
