sec_code,sec_name,chunk_count,original_length_units,summary_length_units,relevant_score_mean,Redundancy
688187,时代电气,15,56149,1919.0,2.161078777459022,29.25951016154247
688355,明志科技,14,51280,1753.0,2.161471433239396,29.252709640616086
688065,凯赛生物,11,40272,1380.0,2.4510750764140066,29.182608695652174
688366,昊海生科,22,83604,2873.0,2.304300228466884,29.099895579533587
688096,京源环保,16,60350,2081.0,2.1078158711069284,29.000480538202787
688689,银河微电,14,50998,1759.0,2.3726268078262716,28.992609437180217
688116,天奈科技,11,42454,1468.0,2.118354545614413,28.919618528610354
688075,安旭生物,15,56776,1971.0,2.2496289046938904,28.80568239472349
688183,生益电子,18,69475,2415.0,2.44759048712055,28.768115942028984
688580,伟思医疗,12,44910,1565.0,2.2015568617074,28.696485623003195
688027,国盾量子,17,63094,2200.0,2.16780976083702,28.67909090909091
688192,迪哲医药,14,52873,1846.0,2.0670205489479176,28.64192849404117
688045,必易微,9,31558,1103.0,2.4240002379997097,28.611060743427018
688035,德邦科技,10,35946,1258.0,2.350343836196599,28.573926868044516
688500,慧辰资讯,14,51522,1804.0,2.35691928190327,28.559866962305986
688238,和元生物,10,37881,1328.0,2.1357226157625826,28.524849397590362
688108,赛诺医疗,18,67467,2371.0,2.149325685790365,28.455082243778996
688300,联瑞新材,17,66300,2338.0,2.1919806019871517,28.357570573139437
688625,呈和科技,10,38961,1374.0,2.5683722488806167,28.35589519650655
688281,华秦科技,11,40527,1437.0,2.2266229423199606,28.20250521920668
688686,奥普特,11,41158,1468.0,2.0427146434460237,28.036784741144412
688330,宏力达,14,54307,1937.0,2.308704845923256,28.03665462054724
688611,杭州柯林,10,36978,1319.0,2.0894960681205155,28.034874905231234
688038,中科通达,13,50333,1800.0,2.6961543709182583,27.962777777777777
688052,纳芯微,11,39812,1425.0,2.1762664905765785,27.938245614035086
688172,燕东微,11,39110,1401.0,2.2511174261846394,27.915774446823697
688085,三友医疗,19,73633,2645.0,2.1579989610022126,27.838563327032137
