sample,variable,N,mean,std,p25,median,p75,original_N,original_mean,original_std,original_p25,original_median,original_p75,distance_all
w2_2019_2022,BHAR_cal365_incl_cnd_m53_tl,474,0.9560176805439664,1.4603297669114148,0.026586648160876525,0.45425379763053414,1.236073016116922,471,-0.036,0.514,-0.385,-0.17,0.162,4.048260909363714
w2_2019_2022,BHAR_cal365_incl_cnd_m117_tl,474,0.9558680607982626,1.4601831110006351,0.025863930591990658,0.4551131677278308,1.2362688648360627,471,-0.036,0.514,-0.385,-0.17,0.162,4.048297134954782
w2_2019_2022,BHAR_td252_incl_cnd_m33_os,474,0.9526469545119219,1.5214298200866903,0.0032126933391019297,0.4626855007301769,1.2807811538283373,471,-0.036,0.514,-0.385,-0.17,0.162,4.135756122496229
w2_2019_2022,BHAR_td252_incl_cnd_m117_tl,474,0.9673261374959088,1.519597619320766,0.0067872775148378195,0.4936363802747503,1.2863923413113487,471,-0.036,0.514,-0.385,-0.17,0.162,4.188739755917612
w2_2019_2022,BHAR_td252_incl_cnd_m53_tl,474,0.9674904279479966,1.5197421707950647,0.007208604442836164,0.49284178657056077,1.2870749077483246,471,-0.036,0.514,-0.385,-0.17,0.162,4.189357897504783
w2_2019_2022,BHAR_cal365_incl_star_exipo_ew,474,1.0042848360872743,1.482824389864932,0.08103163856416895,0.5062784383528098,1.3023005949273725,471,-0.036,0.514,-0.385,-0.17,0.162,4.291719897796558
w2_2019_2022,BHAR_td252_incl_star_exipo_ew,474,1.0186481349247045,1.5418133521867388,0.09259176596877591,0.5442567695522147,1.4052149266427179,471,-0.036,0.514,-0.385,-0.17,0.162,4.517524949275152
w2_2019_2022,BHAR_cal365_incl_star_all_vw,474,-2.3138758564010624,6.033036557865568,-1.5586617071736673,-0.3413550182655414,0.3996973791938023,471,-0.036,0.514,-0.385,-0.17,0.162,9.379626518899641
w2_2019_2022,BHAR_td252_incl_star_all_vw,474,-2.402895422939298,6.2493046060532915,-1.6263453533126073,-0.329722172356735,0.3988181713572356,471,-0.036,0.514,-0.385,-0.17,0.162,9.740085726019167
w2_2019_2022,BHAR_cal365_excl_star_all_vw,474,-3.265639590431013,5.730911641639974,-2.174006244312319,-0.8469526315311895,-0.35007917931182975,471,-0.036,0.514,-0.385,-0.17,0.162,11.424589287226325
w2_2019_2022,BHAR_td252_excl_star_all_vw,474,-3.377407316302578,5.942901801521016,-2.2506737796260428,-0.8349067200320432,-0.3643205953445439,471,-0.036,0.514,-0.385,-0.17,0.162,11.827210212826223
