sec_code,sec_name,announcement_id,announcement_title,announcement_date,doc_type,section_status,tech_text_compact_chars,chunk_count,chunks,completed_chunks,original_compact_chars,summary_compact_chars,original_length_units,summary_length_units,sentence_count_sum,summary_sentence_count_sum,high_score_count_sum,high_score_share_mean,summary_high_score_gap_mean,relevant_score_mean,n0_sum,n1_sum,n2_sum,n3_sum,n4_sum,n5_sum,llm_complete,length_mode,redundancy_partial,redundancy,source_shard
688680,海优新材,1209135684,首次公开发行股票并在科创板上市招股说明书,2021-01-19,final_prospectus,ok,67284,12,12,12,67284,2673,45606,1339,686,62,180,0.2317526099448142,-9.833333333333334,1.943822182397451,145,166,109,86,151,29,True,token_proxy,34.05974607916355,34.05974607916355,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688669,聚石化学,1209135619,首次公开发行股票并在科创板上市招股说明书,2021-01-19,final_prospectus,ok,87951,16,16,16,87951,3619,60633,1814,970,73,248,0.2585468939092041,-10.9375,2.122983870967742,176,176,114,112,220,28,True,token_proxy,33.42502756339581,33.42502756339581,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688689,银河微电,1209135763,首次公开发行股票并在科创板上市招股说明书,2021-01-19,final_prospectus,ok,99023,18,18,18,99023,3936,68391,1974,1172,91,583,0.4010352707110192,-27.333333333333332,2.575225318576799,126,181,139,143,518,65,True,token_proxy,34.64589665653495,34.64589665653495,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688350,富淼科技,1209178371,首次公开发行股票并在科创板上市招股说明书,2021-01-25,final_prospectus,ok,100556,17,17,17,100556,6962,64830,3485,965,76,172,0.2026837052734243,-5.647058823529412,1.8566262663348203,197,241,135,90,149,23,True,token_proxy,18.6025824964132,18.6025824964132,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688607,康众医疗,1209195030,首次公开发行股票并在科创板上市招股说明书,2021-01-27,final_prospectus,ok,90986,15,15,15,90986,3819,56730,1915,798,78,177,0.2419659473016299,-6.6,2.06774865262712,161,213,128,119,109,68,True,token_proxy,29.62402088772846,29.62402088772846,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688628,优利德,1209188011,首次公开发行股票并在科创板上市招股说明书,2021-01-26,final_prospectus,ok,155437,27,27,27,155437,7639,104663,3827,1577,143,515,0.3191361048372637,-13.77777777777778,2.237667012233072,291,326,234,211,463,52,True,token_proxy,27.34857590802195,27.34857590802195,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688059,华锐精密,1209233825,华锐精密首次公开发行股票并在科创板上市招股说明书,2021-02-03,final_prospectus,ok,63133,11,11,11,63133,2692,42706,1349,634,60,92,0.1459250130475734,-2.909090909090909,1.7387069797728107,151,171,121,99,68,24,True,token_proxy,31.657524091919942,31.657524091919942,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688687,凯因科技,1209225161,凯因科技首次公开发行股票并在科创板上市招股说明书,2021-02-02,final_prospectus,ok,114964,20,20,20,114964,4706,75390,2357,1027,112,170,0.1993255299674744,-2.9,1.9158290819516688,222,286,192,157,124,46,True,token_proxy,31.98557488332626,31.98557488332626,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688665,四方光电,1209239107,四方光电首次公开发行股票并在科创板上市招股说明书,2021-02-04,final_prospectus,ok,114444,20,20,20,114444,5339,75014,2674,1190,100,282,0.2555666129815258,-9.1,2.180334590218745,187,287,185,187,248,34,True,token_proxy,28.053103964098728,28.053103964098728,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688619,罗普特,1209265944,罗普特首次公开发行股票并在科创板上市招股说明书,2021-02-10,final_prospectus,ok,133634,23,23,23,133634,6966,85284,3489,1564,118,716,0.3821042611843207,-26.0,2.340682299583921,256,275,174,143,654,62,True,token_proxy,24.443680137575235,24.443680137575235,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688183,生益电子,1209280522,生益电子首次公开发行股票并在科创板上市招股说明书,2021-02-19,final_prospectus,ok,135637,24,24,24,135637,5772,90286,2893,1383,123,429,0.3234199669508081,-12.75,2.226117279606606,256,311,199,188,340,89,True,token_proxy,31.20843415139993,31.20843415139993,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688677,海泰新光,1209287021,海泰新光首次公开发行股票并在科创板上市招股说明书,2021-02-22,final_prospectus,ok,84511,14,14,14,84511,3340,53443,1674,781,77,124,0.1555879570702167,-3.357142857142857,1.7826774912870036,181,211,129,136,85,39,True,token_proxy,31.925328554360817,31.925328554360817,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688079,美迪凯,1209301240,美迪凯首次公开发行股票并在科创板上市招股说明书,2021-02-25,final_prospectus,ok,72065,12,12,12,72065,3412,46106,1709,682,68,204,0.2559879387836377,-11.333333333333334,2.1101370952857263,121,158,107,92,130,74,True,token_proxy,26.978349912229373,26.978349912229373,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688696,极米科技,1209301242,极米科技首次公开发行股票并在科创板上市招股说明书,2021-02-25,final_prospectus,ok,116743,21,21,21,116743,5267,81182,2638,1682,90,934,0.3701643487243615,-40.19047619047619,2.4184246863439496,190,227,149,129,877,57,True,token_proxy,30.77407126611069,30.77407126611069,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688328,深科达,1209325112,深科达首次公开发行股票并在科创板上市招股说明书,2021-03-03,final_prospectus,ok,87667,16,16,16,87667,3793,59532,1901,1047,81,444,0.3495945299802629,-22.6875,2.3122784145417254,142,224,135,102,407,37,True,token_proxy,31.31614939505523,31.31614939505523,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
