code,segment_target_year,NumIndSeg_count,NumIndSeg_count_main,NumIndSeg_count_operating,NumIndSeg_source,NumIndSeg,NumIndSeg_ln_count,NumProdSeg_count,NumProdSeg_count_main,NumProdSeg_count_operating,NumProdSeg_source,NumProdSeg,NumProdSeg_ln_count
688298,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0
688301,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,4.0,,4.0,operating_revenue_fallback,1.6094379124341003,1.3862943611198906
688308,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453
688309,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688311,2020,2.0,,2.0,operating_revenue_fallback,1.0986122886681098,0.6931471805599453,2.0,,2.0,operating_revenue_fallback,1.0986122886681098,0.6931471805599453
688312,2020,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,3.0,,3.0,operating_revenue_fallback,1.3862943611198906,1.0986122886681098
688313,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,9.0,9.0,,main_business_revenue,2.302585092994046,2.1972245773362196
688318,2020,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688330,2020,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688335,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688336,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688338,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,11.0,11.0,,main_business_revenue,2.4849066497880004,2.3978952727983707
688339,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688356,2020,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,3.0,,3.0,operating_revenue_fallback,1.3862943611198906,1.0986122886681098
688360,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688365,2020,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,4.0,,4.0,operating_revenue_fallback,1.6094379124341003,1.3862943611198906
688377,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688378,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,3.0,,3.0,operating_revenue_fallback,1.3862943611198906,1.0986122886681098
688379,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688386,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,8.0,8.0,,main_business_revenue,2.1972245773362196,2.0794415416798357
688390,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688393,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688396,2020,6.0,6.0,,main_business_revenue,1.9459101490553132,1.791759469228055,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688398,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688408,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688418,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688466,2020,3.0,3.0,1.0,main_business_revenue,1.3862943611198906,1.0986122886681098,4.0,,4.0,operating_revenue_fallback,1.6094379124341003,1.3862943611198906
688488,2020,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098,9.0,9.0,,main_business_revenue,2.302585092994046,2.1972245773362196
688500,2020,5.0,,5.0,operating_revenue_fallback,1.791759469228055,1.6094379124341003,2.0,,2.0,operating_revenue_fallback,1.0986122886681098,0.6931471805599453
688505,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688508,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688510,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688513,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688516,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688518,2020,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688519,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453
688520,2020,,,,,,,,,,,,
688521,2020,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,4.0,,4.0,operating_revenue_fallback,1.6094379124341003,1.3862943611198906
688526,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688528,2020,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,6.0,,6.0,operating_revenue_fallback,1.9459101490553132,1.791759469228055
688529,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,7.0,7.0,,main_business_revenue,2.0794415416798357,1.9459101490553132
688536,2020,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,2.0,,2.0,operating_revenue_fallback,1.0986122886681098,0.6931471805599453
688550,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688551,2020,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688555,2020,5.0,,5.0,operating_revenue_fallback,1.791759469228055,1.6094379124341003,3.0,,3.0,operating_revenue_fallback,1.3862943611198906,1.0986122886681098
688556,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688557,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688558,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,8.0,8.0,,main_business_revenue,2.1972245773362196,2.0794415416798357
688559,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688560,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
