sample,variable,N,mean,std,p25,median,p75,original_N,original_mean,original_std,original_p25,original_median,original_p75,distance_all,distance_q
full_2019_2023,BHAR_cnd_incl_first_252_m117_os,541,0.8436872945400069,1.47251191324256,-0.05072929860258987,0.3515917379689663,1.1052824403406316,471,-0.036,0.514,-0.385,-0.17,0.162,3.637344087489575,1.799144879707008
full_2019_2023,BHAR_cnd_incl_first_252_m63_os,541,0.8433703822884061,1.4723467528169087,-0.05092112500006726,0.35229523796498,1.1057612570774114,471,-0.036,0.514,-0.385,-0.17,0.162,3.637852505147639,1.800135370042324
full_2019_2023,BHAR_cnd_incl_first_252_m53_os,541,0.8436748053420517,1.4725609405762778,-0.050414773888152714,0.35172935391044174,1.1056339992389952,471,-0.036,0.514,-0.385,-0.17,0.162,3.6381843251796138,1.7999485792612842
full_2019_2023,BHAR_cnd_incl_first_252_m33_tl,541,0.8464115560797373,1.4788966975244657,-0.05138752956348165,0.3598475871298001,1.110919194465386,471,-0.036,0.514,-0.385,-0.17,0.162,3.6596875056359073,1.8123792520317044
full_2019_2023,BHAR_cnd_incl_first_252_m101_tl,541,0.8519187972941163,1.4742820899014943,-0.04893980905631225,0.3659845924207682,1.1119626368360929,471,-0.036,0.514,-0.385,-0.17,0.162,3.6702083073961598,1.8220074202005487
full_2019_2023,BHAR_cnd_incl_first_252_m63_tl,541,0.8523536126190727,1.4720907237678056,-0.04341310288187014,0.3631904459396605,1.1111340403702383,471,-0.036,0.514,-0.385,-0.17,0.162,3.670355719814907,1.8239113834280287
full_2019_2023,BHAR_cnd_incl_first_252_m37_tl,541,0.8521285915988693,1.4744242928160018,-0.04826056383462231,0.36663590648993016,1.1124670215741665,471,-0.036,0.514,-0.385,-0.17,0.162,3.672395248644346,1.8238423642294745
full_2019_2023,BHAR_cnd_incl_first_252_m117_tl,541,0.8548399922457304,1.4727623446336933,-0.03877912215830279,0.36275620974282635,1.117436725674503,471,-0.036,0.514,-0.385,-0.17,0.162,3.6840161501384503,1.8344138132590264
full_2019_2023,BHAR_cnd_incl_first_252_m53_tl,541,0.8550451158367344,1.472876170733027,-0.03815802087524131,0.3634509302749947,1.118164591015112,471,-0.036,0.514,-0.385,-0.17,0.162,3.6863787869846263,1.8364575004148653
full_2019_2023,BHAR_year_L_m101_eq,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
full_2019_2023,BHAR_year_L_m101_os,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
full_2019_2023,BHAR_year_L_m101_tl,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
full_2019_2023,BHAR_year_L_m117_eq,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
full_2019_2023,BHAR_year_L_m117_os,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
full_2019_2023,BHAR_year_L_m117_tl,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
full_2019_2023,BHAR_year_L_m33_eq,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
full_2019_2023,BHAR_year_L_m33_os,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
full_2019_2023,BHAR_year_L_m33_tl,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
full_2019_2023,BHAR_year_L_m37_eq,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
full_2019_2023,BHAR_year_L_m37_os,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
full_2019_2023,BHAR_year_L_m37_tl,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
full_2019_2023,BHAR_year_L_m53_eq,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
full_2019_2023,BHAR_year_L_m53_os,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
full_2019_2023,BHAR_year_L_m53_tl,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
full_2019_2023,BHAR_year_L_m63_eq,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
full_2019_2023,BHAR_year_L_m63_os,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
full_2019_2023,BHAR_year_L_m63_tl,0,,,,,,471,-0.036,0.514,-0.385,-0.17,0.162,inf,inf
w2_2019_2022,BHAR_current,474,-0.06065672004061957,0.5055842301807021,-0.40159833482012575,-0.2191826211099277,0.09290142884570896,471,-0.036,0.514,-0.385,-0.17,0.162,0.16795201694426198,0.13487952708434447
w2_2019_2022,BHAR_year_Lp1_m33_os,474,0.022891096449177462,0.507213864256243,-0.2862365166741014,-0.13023783973298314,0.17053855071510463,471,-0.036,0.514,-0.385,-0.17,0.162,0.21274142650095457,0.14706419430802012
w2_2019_2022,BHAR_year_Lp1_m101_os,474,0.03149367702100876,0.5049314871424505,-0.27652004373265016,-0.11584564828485505,0.1734502062673498,471,-0.036,0.514,-0.385,-0.17,0.162,0.25064670412840284,0.1740845142498446
w2_2019_2022,BHAR_year_Lp1_m37_os,474,0.0316637803075284,0.5050397857452077,-0.2764040662109906,-0.11501282650213446,0.1736601822707059,471,-0.036,0.514,-0.385,-0.17,0.162,0.25186728411990156,0.17524328955758084
w2_2019_2022,BHAR_year_Lp1_m33_tl,474,0.03269425491782756,0.5067293797677945,-0.27758515536794415,-0.11800757680092507,0.18251048617245755,471,-0.036,0.514,-0.385,-0.17,0.162,0.25588262915362137,0.17991775400358834
w2_2019_2022,BHAR_year_Lp1_m63_os,474,0.03292158831464834,0.5033060854902532,-0.2771926689667138,-0.11114866578041316,0.17372078851853168,471,-0.036,0.514,-0.385,-0.17,0.162,0.25799495659579985,0.17837945377140474
w2_2019_2022,BHAR_year_Lp1_m53_os,474,0.03305234423939496,0.5032970104597666,-0.2769842734829693,-0.11109597032493701,0.1741264978191372,471,-0.036,0.514,-0.385,-0.17,0.162,0.25880158779085927,0.17904625401123092
w2_2019_2022,BHAR_year_Lp1_m117_os,474,0.03288444274779352,0.5032157079527219,-0.27715265929534516,-0.11118460757339876,0.17465177842088703,471,-0.036,0.514,-0.385,-0.17,0.162,0.2589832463472148,0.17931451155214312
w2_2019_2022,BHAR_cnd_excl_first_252_m53_tl,474,-0.10481247152618241,0.5489635007500966,-0.4317848295617356,-0.23462346784159943,0.10152911271493065,471,-0.036,0.514,-0.385,-0.17,0.162,0.27565515696468335,0.17187918468840435
w2_2019_2022,BHAR_cnd_excl_first_252_m117_tl,474,-0.10497610401577713,0.549003002064205,-0.4321079220141058,-0.234393465623557,0.10151075460055585,471,-0.036,0.514,-0.385,-0.17,0.162,0.2759697391170891,0.17199063303710693
