sample,variable,N,mean,std,p25,median,p75,original_N,original_mean,original_std,original_p25,original_median,original_p75,distance_all,distance_q
w2_2019_2022,BHARwk_skip_first_first52_Wretwd_Mdtl,474,-0.2751252111831154,0.41988657592477213,-0.32435485946439857,-0.1512271416022694,-0.05703053347491954,471,-0.036,0.514,-0.385,-0.17,0.162,0.6316871676665948,0.2984485324082516
w2_2019_2022,BHARwk_first52_Wretwd_Cmdeq,474,-0.3485074805306325,0.5747274497495727,-0.3925933969831712,-0.19738234964309892,-0.0803779915687956,471,-0.036,0.514,-0.385,-0.17,0.162,0.6505886684752709,0.2773537381950657
w2_2019_2022,BHARwk_skip_first_first52_Wretwd_Cmdos,474,-0.35635379508735665,0.5294565804255288,-0.4311241521027617,-0.19771747666793144,-0.08475321065384309,471,-0.036,0.514,-0.385,-0.17,0.162,0.6564052149374217,0.32059483942453626
w2_2019_2022,BHARwk_within365_Wretwd_Mdeq,215,-0.3590421665990111,0.6086636032193543,-0.37659573103421917,-0.18595489317896985,-0.061727648915407995,471,-0.036,0.514,-0.385,-0.17,0.162,0.6657925808785241,0.24808681106015867
w2_2019_2022,BHARwk_first52_Wretwd_Cmdtl,474,-0.3769157540170811,0.5557700969434414,-0.4253966715111708,-0.2103128114988525,-0.10302467391154485,471,-0.036,0.514,-0.385,-0.17,0.162,0.7284200078820906,0.34573415692156806
w2_2019_2022,BHARwk_first52_Wretwd_Cmdos,474,-0.38492589158062257,0.5682167453644067,-0.43066712768913734,-0.21721835487422014,-0.10577739607349015,471,-0.036,0.514,-0.385,-0.17,0.162,0.7638055155818769,0.36066287863684765
w2_2019_2022,BHARwk_within365_Wretwd_Cmdos_sum_adj,215,-0.1576136930232558,0.16968252864183897,-0.253717,-0.13839100000000004,-0.050687499999999996,471,-0.036,0.514,-0.385,-0.17,0.162,0.8415106643814168,0.37557949999999996
w2_2019_2022,BHARwk_within365_Wretwd_Cmdeq_sum_adj,215,-0.13936853488372092,0.1658076095482364,-0.23313699999999998,-0.12024000000000001,-0.028474500000000014,471,-0.036,0.514,-0.385,-0.17,0.162,0.8436584253354846,0.39209750000000004
w2_2019_2022,BHARwk_within365_Wretwd_Cmdtl_sum_adj,215,-0.15375532093023256,0.16610487300389326,-0.24727649999999998,-0.13837700000000006,-0.04675300000000009,471,-0.036,0.514,-0.385,-0.17,0.162,0.8437499479263394,0.3780995000000001
w2_2019_2022,BHARwk_skip_first_first52_Wretwd_Cmdos_sum_adj,474,-0.13633245569620253,0.16794340627592183,-0.20996775,-0.11612149999999997,-0.029662000000000067,471,-0.036,0.514,-0.385,-0.17,0.162,0.8669617994202808,0.4205727500000001
