sec_code,sec_name,chunk_count,original_length_units,summary_length_units,relevant_score_mean,Redundancy
688198,佰仁医疗,17,62254,1705,2.249536325671161,36.51260997067449
688056,莱伯泰科,16,58290,1597,2.0199886503082474,36.499686912961806
688429,时创能源,7,26462,725,2.2791333086403758,36.499310344827585
688681,科汇股份,12,43509,1193,2.2918460950956168,36.47024308466052
688220,翱捷科技,14,51040,1400,2.328095266944009,36.457142857142856
688598,金博股份,10,35717,980,2.0417544531731715,36.44591836734694
688259,创耀科技,15,55577,1525,2.3175466933729796,36.44393442622951
688737,中自科技,12,44919,1233,2.1362973970009347,36.43065693430657
688616,西力科技,11,41316,1135,2.0953896289782254,36.40176211453745
688516,奥特维,21,77417,2130,2.4228377578029874,36.34600938967136
688677,海泰新光,12,43685,1202,2.188866616052541,36.34359400998336
688699,明微电子,11,41130,1133,2.4530681532894043,36.30185348631951
688131,皓元医药,21,79664,2195,2.3777382292215608,36.293394077448745
688307,中润光学,18,70006,1929,2.417568049866836,36.29134266459305
688232,新点软件,16,61550,1696,2.575585012819261,36.29127358490566
688455,科捷智能,14,51768,1427,2.0942018873479755,36.27750525578136
688330,宏力达,14,54307,1497,2.616930649389982,36.27722110888443
688192,迪哲医药,14,52873,1460,2.0291189818270405,36.214383561643835
688092,爱科科技,14,51379,1422,2.2941462928469023,36.13150492264416
688079,美迪凯,10,37972,1053,2.2847270975336587,36.060778727445395
688538,和辉光电,16,61374,1704,2.1225401572029234,36.017605633802816
688109,品茗股份,13,48206,1339,2.0518123314451318,36.00149365197909
688458,美芯晟,11,41365,1149,2.3977047009197205,36.000870322019146
688132,邦彦技术,12,43880,1221,1.9308947890175256,35.93775593775594
688571,杭华股份,12,45278,1260,2.1932478711730607,35.93492063492064
688586,江航装备,8,31133,868,2.137610972324559,35.867511520737324
688222,成都先导,12,45784,1278,2.0768837089263537,35.82472613458529
688356,键凯科技,12,44182,1234,2.004388716180331,35.80388978930308
688772,珠海冠宇,12,46613,1302,2.2890726046138328,35.80107526881721
688112,鼎阳科技,14,53111,1487,2.242039080463537,35.716879623402825
688119,中钢洛耐,13,48427,1356,2.3429969141087272,35.71312684365782
688228,开普云,20,75525,2115,2.198488348642396,35.709219858156025
688336,三生国健,28,106967,2997,1.9364836687491607,35.69135802469136
688281,华秦科技,11,40527,1137,2.180979275891833,35.64379947229551
688657,浩辰软件,12,44583,1251,2.281875881703503,35.6378896882494
688331,荣昌生物,20,77286,2169,1.990032069068936,35.632088520055326
688607,康众医疗,13,46987,1320,1.9625721552294095,35.59621212121212
688185,康希诺,15,57300,1610,1.9795695920853429,35.590062111801245
688353,华盛锂电,9,33951,954,2.2271719968949757,35.588050314465406
688510,航亚科技,12,44413,1248,2.333435172949875,35.587339743589745
688039,当虹科技,12,46361,1303,2.0611228152978778,35.58019953952417
688218,江苏北人,14,54396,1530,2.3716555381265514,35.55294117647059
688107,安路科技,8,30657,863,2.099344390689218,35.52375434530707
688348,昱能科技,10,37042,1043,2.2484894094762566,35.514860977948224
688426,康为世纪,13,47685,1343,2.0995374049919864,35.50632911392405
688133,泰坦科技,11,42211,1189,2.1355866379713464,35.50126156433978
688237,超卓航科,8,31294,882,2.15736216279437,35.480725623582764
688578,艾力斯,16,58944,1662,1.9331636944082733,35.46570397111913
688365,光云科技,10,39118,1103,2.2858561488532594,35.46509519492294
688211,中科微至,9,32698,922,2.1366208560810627,35.46420824295011
688106,金宏气体,15,54634,1543,2.0048023293384416,35.407647440051846
688569,铁科轨道,13,48192,1362,2.231954221684251,35.38325991189427
688247,宣泰医药,15,55430,1567,2.1502401754234004,35.373324824505424
688361,中科飞测,7,26241,744,2.047966531209255,35.270161290322584
688262,国芯科技,16,61882,1755,2.3661050759086213,35.26039886039886
688270,臻镭科技,10,36420,1033,2.629751533582019,35.256534365924495
688098,申联生物,11,40659,1154,2.314546523037373,35.23310225303293
688176,亚虹医药,15,58375,1657,1.9459185359926987,35.22933011466506
688688,蚂蚁集团,13,49431,1404,2.096742424602208,35.207264957264954
688496,清越科技,9,34669,985,2.15694473312171,35.19695431472081
688065,凯赛生物,11,40272,1145,2.0828203943924475,35.172052401746726
688585,上纬新材,16,59686,1697,2.216922487161145,35.1714790807307
688182,灿勤科技,10,39173,1114,2.224689967315867,35.16427289048474
688187,时代电气,15,56149,1598,2.119565665957282,35.13704630788486
688435,英方软件,14,51969,1480,2.251634273070029,35.11418918918919
688716,中研股份,15,55142,1571,2.1261124809321053,35.09993634627626
688669,聚石化学,12,45542,1301,2.2368649348515093,35.005380476556496
688589,力合微,11,39759,1136,2.0854568882692956,34.999119718309856
688070,纵横股份,17,62613,1790,2.249518350078543,34.97932960893855
688310,迈得医疗,9,32663,934,2.3543550548364216,34.971092077087796
688509,正元地信,16,59649,1708,2.385670979221413,34.92330210772834
688707,振华新材,14,50174,1437,2.375089426811006,34.91579679888657
688045,必易微,9,31558,904,2.184046134372956,34.90929203539823
688215,瑞晟智能,11,41902,1201,2.103953693992797,34.88925895087427
688399,硕世生物,18,69908,2005,2.193736765838221,34.866832917705736
688179,阿拉丁,17,62658,1798,2.283869950483993,34.84872080088988
688478,晶升股份,13,47450,1362,2.384568029616964,34.838472834067545
688298,东方生物,19,71742,2060,2.2265387279182955,34.82621359223301
688202,美迪西,13,48501,1394,2.3138712121418217,34.792682926829265
688382,益方生物,18,66791,1921,1.8627340423136924,34.76887038001041
688201,信安世纪,14,50449,1451,2.4521150869592616,34.7684355616816
688390,固德威,14,52900,1522,2.040208628265277,34.7568988173456
688702,盛科通信,10,38781,1116,2.127591539446908,34.75
688120,华海清科,10,37406,1077,2.0374776972616684,34.73166202414113
688315,诺禾致源,13,48222,1389,2.0748759276507913,34.7170626349892
688196,卓越新能,20,76974,2222,1.9852356265341213,34.641764176417645
688321,微芯生物,16,60882,1758,2.2649730825816836,34.63139931740614
688314,康拓医疗,10,35479,1025,2.1781929643613944,34.61365853658537
688392,骄成超声,12,47584,1375,2.146126104637925,34.606545454545454
688229,博睿数据,16,59309,1715,2.0922552029152275,34.582507288629735
688396,华润微,12,44360,1283,2.2833807802339323,34.57521434138737
688171,纬德信息,11,40278,1165,2.318826623796042,34.573390557939916
688420,美腾科技,12,44701,1293,2.211819381735035,34.57153905645785
