Stkcd,Accper,StateTypeCode,A001,A002,A001219,code,Accper_dt,fin_year,B001101,B0011,B001201,B002,sec_code,sec_name,listing_year,revenue_target_year,pre_target_year,pre_year_gap,strict_lag1
688050,2018-12-31,A,586454355.14,32586845.73,23192201.32,688050,2018-12-31,2018,126972754.43,126972754.43,23655363.73,20308174.97,688050,爱博医疗,2020.0,433070741.88,2019.0,1.0,False
688050,2017-12-31,A,276064335.38,77620068.33,24590885.65,688050,2017-12-31,2017,74811084.15,74811084.15,18618573.39,-4107905.36,688050,爱博医疗,2020.0,433070741.88,2019.0,2.0,False
688051,2019-12-31,A,907712168.26,424332903.8,,688051,2019-12-31,2019,514781584.33,514781584.33,266166118.82,119224657.97,688051,佳华科技,2020.0,486347694.22,2019.0,0.0,True
688051,2018-12-31,A,838911097.74,637914025.21,,688051,2018-12-31,2018,389035100.05,389035100.05,229481831.84,63874222.52,688051,佳华科技,2020.0,486347694.22,2019.0,1.0,False
688051,2017-12-31,A,717075260.6,580636874.77,,688051,2017-12-31,2017,332276078.6,332276078.6,213266673.35,35920138.09,688051,佳华科技,2020.0,486347694.22,2019.0,2.0,False
688051,2016-12-31,A,612224141.97,512326024.44,,688051,2016-12-31,2016,306499926.92,306499926.92,206517261.67,29914100.93,688051,佳华科技,2020.0,486347694.22,2019.0,3.0,False
688052,2021-12-31,A,840804310.92,285095073.06,,688052,2021-12-31,2021,862093206.95,862093206.95,400865149.63,223792096.66,688052,纳芯微,2022.0,1310927194.19,2021.0,0.0,True
688052,2020-12-31,A,437022306.33,113989431.5,,688052,2020-12-31,2020,241987087.95,241987087.95,110534328.57,50907666.83,688052,纳芯微,2022.0,1310927194.19,2021.0,1.0,False
688052,2019-12-31,A,145275273.9,32017304.96,,688052,2019-12-31,2019,92103211.68,92103211.68,38363557.35,-9108496.61,688052,纳芯微,2022.0,1310927194.19,2021.0,2.0,False
688052,2018-12-31,A,45631048.02,11746730.4,,688052,2018-12-31,2018,40223346.5,40223346.5,17406308.52,2308482.8,688052,纳芯微,2022.0,1310927194.19,2021.0,3.0,False
688053,2021-12-31,A,408866312.22,91049095.47,,688053,2021-12-31,2021,222058329.27,222058329.27,56310752.08,97060644.09,688053,思科瑞,2022.0,200838880.34,2021.0,0.0,True
688053,2020-12-31,A,292656165.44,71416575.04,,688053,2020-12-31,2020,165568836.27,165568836.27,38935014.38,75745242.62,688053,思科瑞,2022.0,200838880.34,2021.0,1.0,False
688053,2019-12-31,A,185265363.6,60750349.07,,688053,2019-12-31,2019,104512286.06,104512286.06,24268056.52,34571934.37,688053,思科瑞,2022.0,200838880.34,2021.0,2.0,False
688055,2019-12-31,A,5149697953.25,2014617657.0,,688055,2019-12-31,2019,3848623414.21,3848623414.21,3192935103.68,245100260.59,688055,龙腾光电,2020.0,5732954114.7,2019.0,0.0,True
688055,2018-12-31,A,6982571043.66,4092520807.6,,688055,2018-12-31,2018,3725275606.27,3725275606.27,2844700088.43,288678831.3,688055,龙腾光电,2020.0,5732954114.7,2019.0,1.0,False
688055,2017-12-31,A,5701673339.35,3100052435.84,,688055,2017-12-31,2017,4305999245.18,4305999245.18,2547134280.5,1027800395.31,688055,龙腾光电,2020.0,5732954114.7,2019.0,2.0,False
688056,2019-12-31,A,449621497.79,122109807.86,,688056,2019-12-31,2019,380518492.49,380518492.49,204293602.31,61683088.05,688056,莱伯泰科,2020.0,368857921.36,2019.0,0.0,True
688056,2018-12-31,A,426785443.9,130408195.35,,688056,2018-12-31,2018,350055212.06,350055212.06,180529125.78,59939627.45,688056,莱伯泰科,2020.0,368857921.36,2019.0,1.0,False
688056,2017-12-31,A,362191982.6,129613015.87,,688056,2017-12-31,2017,322081855.06,322081855.06,154663891.17,49430403.56,688056,莱伯泰科,2020.0,368857921.36,2019.0,2.0,False
688057,2019-12-31,A,1820114498.04,628136314.14,,688057,2019-12-31,2019,777870096.57,777870096.57,245542863.37,259583875.52,688057,金达莱,2020.0,912603794.95,2019.0,0.0,True
688057,2018-12-31,A,1695779879.25,594675850.71,9833241.0,688057,2018-12-31,2018,729651918.5,729651918.5,248879884.68,242656527.61,688057,金达莱,2020.0,912603794.95,2019.0,1.0,False
688057,2017-12-31,A,1384034868.22,403188669.25,3146511.92,688057,2017-12-31,2017,457110456.21,457110456.21,167939421.78,132922295.37,688057,金达莱,2020.0,912603794.95,2019.0,2.0,False
688058,2018-12-31,A,190971587.98,23064564.49,,688058,2018-12-31,2018,122369993.69,122369993.69,6142065.36,50953001.39,688058,宝兰德,2019.0,182260206.51,2018.0,0.0,True
688058,2017-12-31,A,139617276.66,13113254.56,,688058,2017-12-31,2017,86668244.91,86668244.91,4624622.45,34498470.65,688058,宝兰德,2019.0,182260206.51,2018.0,1.0,False
688058,2016-12-31,A,112147818.01,10422266.56,,688058,2016-12-31,2016,80114000.91,80114000.91,1045383.96,36593410.18,688058,宝兰德,2019.0,182260206.51,2018.0,2.0,False
688059,2019-12-31,A,531045696.46,208880625.98,,688059,2019-12-31,2019,258929016.2,258929016.2,128274062.65,71811923.45,688059,华锐精密,2021.0,601635696.57,2020.0,1.0,False
688059,2018-12-31,A,411878651.24,154924304.21,,688059,2018-12-31,2018,213634957.72,213634957.72,107990671.53,54161254.91,688059,华锐精密,2021.0,601635696.57,2020.0,2.0,False
688059,2017-12-31,A,299979209.13,155318693.47,,688059,2017-12-31,2017,134165082.91,134165082.91,67344048.29,31283816.93,688059,华锐精密,2021.0,601635696.57,2020.0,3.0,False
688060,2019-12-31,A,298842529.06,57119908.81,,688060,2019-12-31,2019,250881390.58,250881390.58,142983993.02,65446106.07,688060,云涌科技,2020.0,309179200.51,2019.0,0.0,True
688060,2018-12-31,A,253100875.89,76784958.02,,688060,2018-12-31,2018,161959797.2,161959797.2,88119684.44,41273336.68,688060,云涌科技,2020.0,309179200.51,2019.0,1.0,False
688060,2017-12-31,A,189931168.36,54888587.17,,688060,2017-12-31,2017,137928985.66,137928985.66,80930612.64,30184087.27,688060,云涌科技,2020.0,309179200.51,2019.0,2.0,False
688061,2021-12-31,A,622933748.89,186550434.21,,688061,2021-12-31,2021,537194301.17,537194301.17,305003284.36,125001562.3,688061,灿瑞科技,2022.0,454574179.68,2021.0,0.0,True
688061,2020-12-31,A,494741358.69,185235667.17,,688061,2020-12-31,2020,289697711.44,289697711.44,179408252.7,43652460.89,688061,灿瑞科技,2022.0,454574179.68,2021.0,1.0,False
688061,2019-12-31,A,355074298.67,142740863.11,,688061,2019-12-31,2019,198631435.11,198631435.11,131884674.13,22853053.4,688061,灿瑞科技,2022.0,454574179.68,2021.0,2.0,False
688062,2020-12-31,A,1638897096.68,168449252.39,,688062,2020-12-31,2020,5302169.02,5302169.02,3463810.61,-643624152.71,688062,迈威生物,2022.0,127835534.42,2021.0,1.0,False
688062,2019-12-31,A,1072310034.38,314874955.98,,688062,2019-12-31,2019,29425705.97,29425705.97,17935798.82,-928936226.35,688062,迈威生物,2022.0,127835534.42,2021.0,2.0,False
688062,2018-12-31,A,891922301.79,1023591523.41,,688062,2018-12-31,2018,37375721.4,37375721.4,26341788.71,-237834843.84,688062,迈威生物,2022.0,127835534.42,2021.0,3.0,False
688063,2019-12-31,A,796946022.88,352495723.78,,688063,2019-12-31,2019,819849198.51,819849198.51,516249790.91,144114184.41,688063,派能科技,2020.0,2062515046.35,2019.0,0.0,True
688063,2018-12-31,A,529139010.02,262909016.93,,688063,2018-12-31,2018,426025451.47,426025451.47,297075662.62,45459286.49,688063,派能科技,2020.0,2062515046.35,2019.0,1.0,False
688063,2017-12-31,A,393797078.78,173026372.18,,688063,2017-12-31,2017,143337667.45,143337667.45,114323781.57,-44125029.51,688063,派能科技,2020.0,2062515046.35,2019.0,2.0,False
688065,2019-12-31,A,5981776496.32,1339918890.78,,688065,2019-12-31,2019,1916199460.67,1916199460.67,1061040992.46,478880430.75,688065,凯赛生物,2020.0,2197456745.0,2019.0,0.0,True
688065,2018-12-31,A,4839625199.71,1682883134.41,,688065,2018-12-31,2018,1757116169.74,1757116169.74,991899188.32,466292871.0,688065,凯赛生物,2020.0,2197456745.0,2019.0,1.0,False
688065,2017-12-31,A,3133393761.27,936581465.62,,688065,2017-12-31,2017,1362694735.96,1362694735.96,768580797.09,332727682.05,688065,凯赛生物,2020.0,2197456745.0,2019.0,2.0,False
688067,2020-12-31,A,296570337.16,59851139.88,,688067,2020-12-31,2020,180199388.49,180199388.49,73284277.39,30100264.86,688067,爱威科技,2021.0,196774016.32,2020.0,0.0,True
688067,2019-12-31,A,297443898.67,44935107.85,,688067,2019-12-31,2019,189982846.33,189982846.33,62410167.33,50520467.82,688067,爱威科技,2021.0,196774016.32,2020.0,1.0,False
688067,2018-12-31,A,257668795.8,40395502.91,,688067,2018-12-31,2018,150540703.93,150540703.93,52904618.2,27283160.86,688067,爱威科技,2021.0,196774016.32,2020.0,2.0,False
688068,2018-12-31,A,267118047.51,56680000.99,,688068,2018-12-31,2018,187123050.99,187123050.99,49130608.86,48187687.55,688068,热景生物,2019.0,513533629.7,2018.0,0.0,True
688068,2017-12-31,A,189651703.06,28001344.09,,688068,2017-12-31,2017,142088955.69,142088955.69,36834230.75,30072299.82,688068,热景生物,2019.0,513533629.7,2018.0,1.0,False
688068,2016-12-31,A,160116478.89,29140136.64,,688068,2016-12-31,2016,122195767.11,122195767.11,29283853.7,28799459.74,688068,热景生物,2019.0,513533629.7,2018.0,2.0,False
688069,2019-12-31,A,446830051.95,132802361.86,,688069,2019-12-31,2019,296879606.84,296879606.84,143913858.29,100424171.73,688069,德林海,2020.0,491462653.23,2019.0,0.0,True
