sec_code,sec_name,chunk_n,shard,year
688212,澳华内镜,16,3,2021
688215,瑞晟智能,13,3,2020
688227,品高股份,16,3,2021
688228,开普云,24,3,2020
688229,博睿数据,18,3,2020
688236,春立医疗,23,3,2021
688248,南网科技,19,3,2021
688251,井松智能,10,3,2022
688256,寒武纪,12,3,2020
688261,东微半导,11,3,2022
688269,凯立新材,18,3,2021
688271,联影医疗,21,3,2022
688273,麦澜德,9,3,2022
688290,景业智能,14,3,2022
688291,金橙子,12,3,2022
688303,大全能源,15,3,2021
688316,青云科技,20,3,2021
688318,财富趋势,16,3,2020
688320,禾川科技,14,3,2022
688331,荣昌生物,25,3,2022
688338,赛科希德,18,3,2020
688348,昱能科技,12,3,2022
688350,富淼科技,17,3,2021
688361,中科飞测,8,3,2023
688365,光云科技,13,3,2020
688368,晶丰明源,16,3,2019
688373,盟科药业,17,3,2022
688383,新益昌,15,3,2021
688396,华润微,14,3,2020
688410,山外山,13,3,2022
688425,铁建重工,26,3,2021
688428,诺诚健华,20,3,2022
688435,英方软件,17,3,2023
688456,有研粉材,15,3,2021
688459,哈铁科技,18,3,2022
688478,晶升股份,16,3,2023
688489,三未信安,12,3,2022
688502,茂莱光学,17,3,2023
688503,聚和材料,9,3,2022
688507,索辰科技,11,3,2023
688510,航亚科技,15,3,2020
688520,神州细胞,21,3,2020
688521,芯原股份,10,3,2020
688529,豪森股份,19,3,2020
688533,上声电子,12,3,2021
688539,高华科技,14,3,2023
688550,瑞联新材,8,3,2020
688551,科威尔,16,3,2020
688553,汇宇制药,18,3,2021
688563,航材股份,13,3,2023
688570,天玛智控,22,3,2023
688580,伟思医疗,15,3,2020
688586,江航装备,11,3,2020
688588,凌志软件,23,3,2020
688596,正帆科技,14,3,2020
688599,天合光能,28,3,2020
688611,杭州柯林,12,3,2021
688618,三旺通信,16,3,2020
688620,安凯微,9,3,2023
688622,禾信仪器,19,3,2021
688626,翔宇医疗,20,3,2021
688628,优利德,27,3,2021
688630,芯碁微装,14,3,2021
688638,誉辰智能,13,3,2023
688651,盛邦安全,11,3,2023
688655,迅捷兴,17,3,2021
688658,悦康药业,21,3,2020
688677,海泰新光,14,3,2021
688687,凯因科技,20,3,2021
688688,蚂蚁集团,16,3,2020
688689,银河微电,18,3,2021
688697,纽威数控,15,3,2021
688700,东威科技,10,3,2021
688702,盛科通信,12,3,2023
688766,普冉股份,15,3,2021
688777,中控技术,14,3,2020
688779,长远锂科,17,3,2021
688787,海天瑞声,24,3,2021
688789,宏华数科,13,3,2021
688819,天能股份,11,3,2021
688035,德邦科技,13,4,2022
688041,海光信息,9,4,2022
688045,必易微,10,4,2022
688049,炬芯科技,10,4,2021
688050,爱博医疗,23,4,2020
688052,纳芯微,13,4,2022
688055,龙腾光电,15,4,2020
688056,莱伯泰科,18,4,2020
688061,灿瑞科技,12,4,2022
688065,凯赛生物,14,4,2020
688080,映翰通,15,4,2020
688083,中望软件,21,4,2021
688085,三友医疗,24,4,2020
688086,紫晶存储,26,4,2020
688096,京源环保,20,4,2020
688101,三达膜,19,4,2019
688112,鼎阳科技,18,4,2021
688119,中钢洛耐,17,4,2022
688121,卓然股份,16,4,2021
688125,安达智能,13,4,2022
688129,东来技术,15,4,2020
688132,邦彦技术,14,4,2022
688139,海尔生物,12,4,2019
688141,杰华特,10,4,2022
688165,埃夫特,16,4,2020
688166,博瑞医药,24,4,2019
688178,万德斯,15,4,2020
688186,广大特材,21,4,2020
688188,柏楚电子,18,4,2019
688189,南新制药,23,4,2020
688195,腾景科技,13,4,2021
688203,海正生材,20,4,2022
688205,德科立,12,4,2022
688208,道通科技,14,4,2020
688211,中科微至,11,4,2021
688217,睿昂基因,16,4,2021
688239,航宇科技,19,4,2021
688244,永信至诚,18,4,2022
688252,天德钰,10,4,2022
688260,昀冢科技,17,4,2021
688265,南模生物,12,4,2021
688266,泽璟制药,26,4,2020
688267,中触媒,13,4,2022
688277,天智航,16,4,2020
688279,峰岹科技,9,4,2022
688280,精进电动,21,4,2021
688289,圣湘生物,19,4,2020
688292,浩瀚深度,14,4,2022
688298,东方生物,23,4,2020
688299,长阳科技,18,4,2019
688312,燕麦科技,12,4,2020
688319,欧林生物,20,4,2021
688328,深科达,16,4,2021
688337,普源精电,15,4,2022
688353,华盛锂电,12,4,2022
688356,键凯科技,14,4,2020
688357,建龙微纳,17,4,2019
688360,德马科技,22,4,2020
688363,华熙生物,24,4,2019
688372,伟测科技,11,4,2022
688378,奥来德,13,4,2020
688379,华光新材,16,4,2020
688389,普门科技,18,4,2019
688390,固德威,17,4,2020
688398,赛特新材,15,4,2020
688408,中信博,14,4,2020
688409,富创精密,8,4,2022
688458,美芯晟,13,4,2023
688466,金科环境,15,4,2020
688468,科美诊断,17,4,2021
688496,清越科技,12,4,2022
688500,慧辰资讯,16,4,2020
688501,青达环保,18,4,2021
688513,苑东生物,15,4,2020
688515,裕太微,11,4,2023
688519,南亚新材,9,4,2020
688536,思瑞浦,10,4,2020
688538,和辉光电,19,4,2021
688555,泽达易盛,20,4,2020
688559,海目星,18,4,2020
688560,明冠新材,14,4,2020
688567,孚能科技,21,4,2020
688571,杭华股份,16,4,2020
688573,信宇人,12,4,2023
688575,亚辉龙,26,4,2021
688581,安杰思,17,4,2023
688589,力合微,13,4,2020
688603,天承科技,14,4,2023
688607,康众医疗,15,4,2021
688609,九联科技,28,4,2021
688612,威迈斯,23,4,2023
688631,莱斯信息,19,4,2023
688633,星球石墨,11,4,2021
688636,智明达,20,4,2021
688639,华恒生物,13,4,2021
688653,康希通信,9,4,2023
688657,浩辰软件,14,4,2023
688659,元琛科技,16,4,2021
688660,电气风电,21,4,2021
688668,鼎通科技,12,4,2020
688679,通源环境,11,4,2020
688686,奥普特,14,4,2020
688701,卓锦股份,18,4,2021
688707,振华新材,17,4,2021
688711,宏微科技,15,4,2021
688728,格科微,16,4,2021
688767,博拓生物,20,4,2021
688768,容知日新,15,4,2021
688788,科思科技,17,4,2020
688798,艾为电子,12,4,2021
