sec_code,sec_name,chunk_n,text_sum,summary_sum,relevant_score_mean,cap_applied_n,red_chunk_mean,candidate,Redundancy_diag,lnN_tech_diag
688141,杰华特,10,38855.0,1350.0,2.2397858796234713,1,31.362636911287456,tailmerge1700_score18_cap80,28.78148148148148,10.567592047643343
688143,长盈通,17,66301.0,2101.0,2.1895840042324815,4,34.35649618101193,tailmerge1700_score18_cap80,31.556877677296526,11.101960259016467
688146,中船特气,15,59083.0,1895.0,2.417071544243392,3,34.531066372776586,tailmerge1700_score18_cap80,31.178364116094986,10.986698513961407
688147,微导纳米,10,40385.0,1347.0,2.1220456663583604,3,35.76308402431978,tailmerge1700_score18_cap80,29.98144023756496,10.606213707876396
688148,芳源股份,12,48440.0,1598.0,2.1560363664697113,3,33.36290412923703,tailmerge1700_score18_cap80,30.312891113892366,10.78808119766703
688150,莱特光电,16,62027.0,2221.0,2.3470083574632077,2,30.19809457400498,tailmerge1700_score18_cap80,27.927510130571815,11.035325053102616
688151,华强科技,11,43208.0,1582.0,2.3207611804906594,2,29.848991134327104,tailmerge1700_score18_cap80,27.31226295828066,10.673780942272726
688152,麒麟信安,14,53025.0,1742.0,2.270465957871813,2,31.86559325780593,tailmerge1700_score18_cap80,30.43915040183697,10.878518779432882
688153,唯捷创芯,7,28640.0,1043.0,2.1261751399484163,2,32.45081456640591,tailmerge1700_score18_cap80,27.459252157238733,10.262559621074582
688155,先惠技术,15,58023.0,1909.0,2.260978045993728,2,32.086076549920804,tailmerge1700_score18_cap80,30.394447354635936,10.96859476264684
688156,路德环境,17,64978.0,2034.0,2.1539769200343652,2,33.68848625522579,tailmerge1700_score18_cap80,31.94591937069813,11.081804030048279
688157,松井股份,18,69661.0,2395.0,2.2751497995925423,3,31.25258170207934,tailmerge1700_score18_cap80,29.086012526096034,11.151395899257666
688158,优刻得,21,81983.0,2914.0,2.4365886247947532,2,32.03513575885357,tailmerge1700_score18_cap80,28.134179821551133,11.314267187680064
688159,有方科技,23,90277.0,3251.0,2.522736268609257,3,29.965612615370773,tailmerge1700_score18_cap80,27.768994155644418,11.410638000428083
688160,步科股份,12,45475.0,1622.0,2.381901992972528,2,31.14529952650571,tailmerge1700_score18_cap80,28.036374845869297,10.724918003386323
688161,威高骨科,22,81726.0,2336.0,2.4940499377444016,3,38.28703171824489,tailmerge1700_score18_cap80,34.98544520547945,11.311127467675396
688162,巨一科技,16,61524.0,2141.0,2.3782405247173823,2,30.473776194954212,tailmerge1700_score18_cap80,28.736104624007474,11.0271826215717
688163,赛伦生物,15,57466.0,1930.0,2.2280589620487534,2,31.73317064374162,tailmerge1700_score18_cap80,29.775129533678758,10.958948747548254
688165,埃夫特,15,60303.0,2039.0,2.4326416640468733,2,33.026343024767534,tailmerge1700_score18_cap80,29.574791564492397,11.007137132721505
688166,博瑞医药,24,94378.0,2973.0,2.092783583111018,5,34.82047413510298,tailmerge1700_score18_cap80,31.745038681466532,11.455063274125566
688167,炬光科技,13,52066.0,1823.0,2.603381481678552,0,29.340253225746014,tailmerge1700_score18_cap80,28.560614371914426,10.860267423540328
688168,安博通,11,41616.0,1645.0,2.261945613041088,1,27.061204197478034,tailmerge1700_score18_cap80,25.298480243161094,10.636239987688432
688169,石头科技,17,67275.0,2159.0,2.477928555496879,2,33.95883322055819,tailmerge1700_score18_cap80,31.16025937934229,11.116543975595107
688170,德龙激光,16,59557.0,2083.0,2.366570111838569,2,31.042301829381,tailmerge1700_score18_cap80,28.591934709553527,10.994689116153946
688171,纬德信息,12,48359.0,1577.0,2.181817678285628,4,34.90892674847496,tailmerge1700_score18_cap80,30.665187064045657,10.786407626268446
688172,燕东微,13,50643.0,1558.0,2.2155733922895156,3,34.44077837785473,tailmerge1700_score18_cap80,32.505134788189984,10.832556296769498
688173,希荻微,14,54951.0,1979.0,2.1028335925984774,3,30.711840638351713,tailmerge1700_score18_cap80,27.767054067710966,10.914197158028326
688175,高凌信息,18,71707.0,2453.0,2.2241272108246504,4,31.75485469361016,tailmerge1700_score18_cap80,29.232368528332653,11.180343650832073
688176,亚虹医药,18,72532.0,2397.0,1.996879174768051,7,38.381822448841355,tailmerge1700_score18_cap80,30.259491030454736,11.191783122773916
688177,百奥泰,23,91507.0,2729.0,1.8510280495439233,11,39.0530471913343,tailmerge1700_score18_cap80,33.53133015756688,11.424170751069669
688178,万德斯,15,57295.0,1802.0,2.3649521276354863,1,33.31488492077392,tailmerge1700_score18_cap80,31.795227524972255,10.955968638860549
688179,阿拉丁,19,75995.0,2530.0,2.2966594827854743,4,33.54015410255308,tailmerge1700_score18_cap80,30.037549407114625,11.238422827630561
688180,君实生物,23,89313.0,3195.0,2.2091812821838075,4,30.372114636854512,tailmerge1700_score18_cap80,27.95399061032864,11.399902332977057
688181,八亿时空,17,64297.0,2332.0,2.517457927248063,1,28.857546747099573,tailmerge1700_score18_cap80,27.571612349914236,11.07126825283867
688182,灿勤科技,13,51840.0,1743.0,2.303183114255116,2,33.48998143301888,tailmerge1700_score18_cap80,29.74182444061962,10.855917331026156
688183,生益电子,23,90286.0,3213.0,2.426738214206221,3,31.75072799482866,tailmerge1700_score18_cap80,28.100217864923746,11.410737688625636
688184,帕瓦股份,8,30973.0,1072.0,2.2278516136700492,2,32.46873862673786,tailmerge1700_score18_cap80,28.892723880597014,10.340871136212566
688185,康希诺,19,72985.0,2542.0,2.2164247497597684,4,31.14592218879798,tailmerge1700_score18_cap80,28.71164437450826,11.198009219564678
688186,广大特材,21,81237.0,2796.0,2.294691488896439,2,30.43042546231424,tailmerge1700_score18_cap80,29.05472103004292,11.305126087390619
688187,时代电气,18,69863.0,2175.0,2.535610780346626,3,33.90719170174568,tailmerge1700_score18_cap80,32.120919540229885,11.154291460467713
688188,柏楚电子,18,69869.0,2341.0,2.220087449080353,3,32.24773646751495,tailmerge1700_score18_cap80,29.845792396411788,11.154377339149814
688189,南新制药,23,90334.0,2605.0,1.894393905783261,11,38.72146359369345,tailmerge1700_score18_cap80,34.677159309021114,11.411269191240297
688190,云路股份,14,52923.0,1828.0,2.2929864206406347,2,32.05631792555766,tailmerge1700_score18_cap80,28.951312910284464,10.876593305964516
688191,智洋创新,18,67656.0,2114.0,2.7898953394394344,3,34.20603617409799,tailmerge1700_score18_cap80,32.00378429517502,11.122191321462058
688192,迪哲医药,17,67199.0,2112.0,2.026836855510549,5,35.63295410762383,tailmerge1700_score18_cap80,31.817708333333332,11.115413645448138
688193,仁度生物,18,70104.0,2279.0,2.3029590191186298,4,33.0579316492254,tailmerge1700_score18_cap80,30.760860026327336,11.157735132735686
688195,腾景科技,13,50980.0,1966.0,2.42008299000044,2,28.071210535618192,tailmerge1700_score18_cap80,25.93082400813835,10.839188677930107
688196,卓越新能,25,95907.0,3450.0,2.1052120378005235,4,30.354183188961883,tailmerge1700_score18_cap80,27.799130434782608,11.471134250908422
688197,首药控股,13,48909.0,1485.0,2.164361273524891,4,38.83284871209239,tailmerge1700_score18_cap80,32.935353535353535,10.797716707607764
688198,佰仁医疗,20,79244.0,2583.0,2.4673988776781597,1,31.8130404237603,tailmerge1700_score18_cap80,30.67905536198219,11.280286979094218
688199,久日新材,23,88867.0,2937.0,2.3287597085476706,4,32.37108478365622,tailmerge1700_score18_cap80,30.257745999319035,11.394896148989336
688200,华峰测控,12,46571.0,1645.0,2.399066211092571,1,29.172310575104778,tailmerge1700_score18_cap80,28.31063829787234,10.7487333087972
688201,信安世纪,16,61578.0,2101.0,2.4748139973265793,1,30.83202437302291,tailmerge1700_score18_cap80,29.308900523560208,11.02805994287377
688202,美迪西,14,57088.0,2038.0,2.2285725307317983,2,30.976243153589145,tailmerge1700_score18_cap80,28.011776251226692,10.952349215939682
688203,海正生材,20,77986.0,2449.0,2.2529090988391514,3,33.34027011780809,tailmerge1700_score18_cap80,31.844017966516947,11.26428460238249
688205,德科立,12,45659.0,1667.0,2.245641666675167,3,30.394587249695913,tailmerge1700_score18_cap80,27.38992201559688,10.72895601883651
688206,概伦电子,9,33548.0,1247.0,2.1234271755169587,3,31.085054769542914,tailmerge1700_score18_cap80,26.90296712109062,10.420732528104303
688207,格灵深瞳,9,34328.0,1199.0,2.1437924825940473,1,29.953713239071014,tailmerge1700_score18_cap80,28.630525437864886,10.44371662667136
688208,道通科技,14,52763.0,1631.0,2.0124702273892394,4,34.440968325839826,tailmerge1700_score18_cap80,32.35009196811772,10.87356546647324
688209,英集芯,13,49026.0,1693.0,2.3598544190800257,2,31.692509486146868,tailmerge1700_score18_cap80,28.958062610750147,10.800106048612763
688210,统联精密,12,46749.0,1413.0,2.160970769664664,3,35.096235029641285,tailmerge1700_score18_cap80,33.08492569002123,10.752548144113725
688211,中科微至,10,40544.0,1339.0,2.410187545199098,1,33.41535532250614,tailmerge1700_score18_cap80,30.27931292008962,10.610143083120866
688212,澳华内镜,16,60309.0,2166.0,2.392796331505494,3,30.441856882960877,tailmerge1700_score18_cap80,27.843490304709142,11.00723662530939
688213,思特威,10,40319.0,1416.0,2.12297751633097,2,31.265364101657518,tailmerge1700_score18_cap80,28.473870056497177,10.604578100850384
688215,瑞晟智能,13,50392.0,1720.0,2.468618805261044,3,31.79696819577172,tailmerge1700_score18_cap80,29.29767441860465,10.827587711301765
688216,气派科技,19,72672.0,2406.0,2.315928640981216,2,31.471209527408817,tailmerge1700_score18_cap80,30.204488778054863,11.193711444905285
688217,睿昂基因,15,59619.0,1916.0,2.3321113577260704,2,33.61230793545427,tailmerge1700_score18_cap80,31.116388308977037,10.995729594196394
688218,江苏北人,17,65846.0,2303.0,2.1933929834895016,4,31.32497137769786,tailmerge1700_score18_cap80,28.59140251845419,11.095073961211014
688219,会通股份,13,50498.0,1739.0,2.4632833886082897,2,30.714403394770468,tailmerge1700_score18_cap80,29.03852788959172,10.829689010518798
